id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.32,2014-02-17 17:56:16.114,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-17 18:07:56.698,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-17 18:09:47.788,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-17 20:49:28.125,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-17 21:24:41.867,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-17 21:26:30.082,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-18 17:20:44.681,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-18 17:56:25.398,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-18 21:24:34.964,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-18 23:20:35.154,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-18 23:21:48.388,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-18 23:22:31.283,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 13:35:25.105,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 14:20:25.627,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 14:21:06.173,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 14:22:07.000,,,,,,,1.0,,,,,,,,,,,,
AS14.32,2014-02-19 14:25:00.096,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 14:26:46.154,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 14:27:14.142,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 14:28:26.144,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 17:05:09.000,,,,,,,1.0,,,,,,,,,,,,
AS14.32,2014-02-19 17:25:48.085,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 17:29:49.630,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 17:32:53.299,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 18:01:07.002,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 18:10:01.160,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 18:18:58.250,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 18:19:42.351,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 18:47:15.612,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-19 19:03:09.000,,,,,,,1.0,,,,,,,,,,,,
AS14.32,2014-02-20 14:21:58.000,,,,,,,1.0,,,,,,,,,,,,
AS14.32,2014-02-20 17:51:02.131,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-20 18:37:11.142,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-20 18:41:30.447,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-20 19:49:22.009,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-20 19:49:43.546,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-20 21:30:29.286,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-21 17:13:03.569,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-21 17:13:20.525,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-21 17:13:57.075,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-21 17:16:26.000,,,,,,,1.0,,,,,,,,,,,,
AS14.32,2014-02-21 17:18:58.910,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-21 17:32:54.913,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-21 17:38:35.953,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-21 17:48:00.164,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-22 22:53:50.114,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-23 10:45:25.000,,,,,,,1.0,,,,,,,,,,,,
AS14.32,2014-02-23 16:54:38.117,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-23 17:18:02.619,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-23 18:02:52.107,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-23 20:48:23.148,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-24 12:17:52.489,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-24 17:19:42.374,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-24 20:58:14.163,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-25 15:43:57.967,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-25 15:45:01.355,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-25 17:49:32.684,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-25 18:07:22.334,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-25 18:54:43.661,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-25 20:10:13.240,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-25 20:54:46.089,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-25 21:22:58.262,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-26 17:59:03.068,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-26 18:04:49.999,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-26 18:17:03.163,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-26 18:23:19.533,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-26 18:35:38.983,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-26 19:11:24.154,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-26 19:16:30.237,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-27 11:37:16.864,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-27 13:54:59.907,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-27 18:24:10.921,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-28 08:39:47.099,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-28 08:50:51.726,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-28 08:52:26.184,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-28 08:53:15.732,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-28 17:30:07.117,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-28 17:32:20.049,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-28 17:32:53.805,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-02-28 17:34:28.000,,,,,,,1.0,,,,,,,,,,,,
AS14.32,2014-02-28 17:39:25.246,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-01 15:53:34.716,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-01 16:06:43.855,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-01 16:15:57.710,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-01 16:53:19.915,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-01 17:18:57.009,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-01 18:50:10.234,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-01 18:50:31.619,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-03 08:29:39.832,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-03 08:32:38.964,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-03 09:13:25.035,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-03 12:20:05.154,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-03 17:50:57.134,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-03 18:09:29.109,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-03 18:21:30.250,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-03 21:15:44.098,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-03 21:31:05.000,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-04 11:35:26.321,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-04 12:06:41.061,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-04 12:37:43.838,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-04 12:58:48.000,,,,,,,1.0,,,,,,,,,,,,
AS14.32,2014-03-04 13:53:37.721,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-04 18:58:19.101,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-04 22:24:09.789,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-04 22:24:28.049,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-05 14:31:43.865,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-05 14:35:47.391,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-05 17:23:05.030,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-05 17:38:45.614,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-05 17:39:44.730,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-05 17:40:05.000,,,,,,,1.0,,,,,,,,,,,,
AS14.32,2014-03-05 17:40:41.226,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-05 17:56:45.075,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-05 19:11:40.033,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-05 20:04:24.134,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-05 21:20:34.318,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-05 22:53:52.279,,,,,,1.0,,,,,,,,,,,,,
AS14.32,2014-03-06 11:14:08.000,,,,,,,1.0,,,,,,,,,,,,
