id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.17,2014-02-17 08:57:16.313,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-02-17 09:00:42.312,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-02-17 09:01:34.747,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-02-18 19:48:50.798,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-02-20 18:35:07.315,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-02-21 21:44:51.299,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-02-22 19:03:38.542,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-02-22 19:07:28.509,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-02-22 23:49:24.631,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-02-23 20:50:12.538,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-02-24 22:49:48.177,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-02-25 08:52:30.184,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-02-26 15:39:31.536,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-02-26 20:22:37.438,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-02-26 21:42:11.022,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-02-26 21:42:54.342,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-02-28 10:27:14.710,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-01 11:56:34.948,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-03-01 11:58:00.707,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-03-01 12:37:14.586,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-03-02 17:55:24.431,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-03-02 17:58:21.690,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-03-04 18:00:00.000,6.0,-1.0,,,,,,,,,,,,,,,,,
AS14.17,2014-03-04 18:00:42.578,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-04 18:01:58.621,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-04 19:28:03.953,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-04 19:28:55.405,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-04 19:56:16.719,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-04 21:00:00.000,8.0,2.0,2.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-05 13:00:00.000,7.0,0.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-05 15:00:00.000,9.0,2.0,2.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-05 16:01:35.085,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-05 17:06:50.072,,,,,,,1.0,,,,,,,,,,,,
AS14.17,2014-03-05 22:00:00.000,8.0,0.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-06 09:00:00.000,7.0,0.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-06 11:00:00.000,6.0,0.0,0.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-06 16:20:14.380,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-06 18:00:00.000,8.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-06 21:00:00.000,8.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-07 11:00:00.000,8.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-07 12:00:00.000,9.0,2.0,2.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-07 16:00:00.000,7.0,0.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-07 21:00:00.000,6.0,0.0,0.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-08 08:00:00.000,7.0,0.0,0.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-08 13:00:00.000,7.0,0.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-08 16:00:00.000,8.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-08 19:00:00.000,8.0,0.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-08 22:00:00.000,8.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-09 08:00:00.000,7.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-09 12:00:00.000,7.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-09 14:18:18.816,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-09 15:00:00.000,7.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-09 18:00:00.000,7.0,0.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-09 18:37:17.539,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-09 18:41:53.065,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-09 18:49:09.470,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-09 21:00:00.000,8.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-09 23:35:20.513,,,,,,1.0,,,,,,,,,,,,,
AS14.17,2014-03-10 12:00:00.000,8.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-10 14:00:00.000,6.0,0.0,0.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-10 18:00:00.000,8.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-11 09:00:00.000,6.0,0.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-11 12:00:00.000,7.0,0.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-11 15:00:00.000,6.0,0.0,0.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-11 18:00:00.000,6.0,0.0,0.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-11 21:00:00.000,6.0,0.0,0.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-12 10:00:00.000,7.0,1.0,1.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-12 12:00:00.000,7.0,0.0,0.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-12 15:00:00.000,6.0,0.0,0.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-12 18:00:00.000,6.0,0.0,0.0,,,,,,,,,,,,,,,,
AS14.17,2014-03-12 21:00:00.000,6.0,0.0,0.0,,,,,,,,,,,,,,,,
