id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.07,2014-03-17 21:03:46.401,,,,,,,1.0,,,,,,,,,,,,
AS14.07,2014-03-18 18:03:45.328,,,,,,1.0,,,,,,,,,,,,,
AS14.07,2014-03-18 18:04:43.634,,,,,,1.0,,,,,,,,,,,,,
AS14.07,2014-03-18 18:16:28.592,,,,,,1.0,,,,,,,,,,,,,
AS14.07,2014-03-18 22:35:48.592,,,,,,,,,,,,,,48.259,,,,,
AS14.07,2014-03-18 22:36:37.033,,,,,,,,5.017,,,,,,,,,,,
AS14.07,2014-03-18 22:36:42.059,,,,,,,,,,,,,,51.295,,,,,
AS14.07,2014-03-18 22:37:33.357,,,,,,,,,111.479,,,,,,,,,,
AS14.07,2014-03-18 22:39:24.838,,,,,,,,1.003,,,,,,,,,,,
AS14.07,2014-03-18 22:39:25.845,,,,,,,,1.003,,,,,,,,,,,
AS14.07,2014-03-18 22:39:26.851,,,,,,,,,49.346,,,,,,,,,,
AS14.07,2014-03-18 22:40:16.286,,,,,,,,,,,,,,5.184,,,,,
AS14.07,2014-03-18 22:40:21.473,,,,,,,,4.049,,,,,,,,,,,
AS14.07,2014-03-18 22:40:25.523,,,,,,,,1.03,,,,,,,,,,,
AS14.07,2014-03-18 22:40:26.556,,,,,,,,1.003,,,,,,,,,,,
AS14.07,2014-03-18 22:40:27.568,,,,,,,,,18.066,,,,,,,,,,
AS14.07,2014-03-18 22:40:45.641,,,,,,,,5.07,,,,,,,,,,,
AS14.07,2014-03-18 22:40:50.713,,,,,,,,,,,,,,37.21,,,,,
AS14.07,2014-03-18 22:41:27.946,,,,,,,,,43.232,,,,,,,,,,
AS14.07,2014-03-18 22:42:11.193,,,,,,,,3.01,,,,,,,,,,,
AS14.07,2014-03-18 22:42:14.237,,,,,,,,,,,,,,2.006,,,,,
AS14.07,2014-03-18 22:42:16.246,,,,,,,,2.005,,,,,,,,,,,
AS14.07,2014-03-18 22:42:18.253,,,,,,,,1.003,,,,,,,,,,,
AS14.07,2014-03-18 22:42:19.259,,,,,,,,2.008,,,,,,,,,,,
AS14.07,2014-03-18 22:42:21.269,,,,,,,,,17.24,,,,,,,,,,
AS14.07,2014-03-18 22:42:38.516,,,,,,,,3.065,,,,,,,,,,,
AS14.07,2014-03-18 22:42:41.582,,,,,,,,,301.317,,,,,,,,,,
AS14.07,2014-03-18 22:47:42.923,,,,,,,,,9.106,,,,,,,,,,
AS14.07,2014-03-18 22:47:52.048,,,,,,,,,16.114,,,,,,,,,,
AS14.07,2014-03-18 22:48:08.441,,,,,,,,,9.047,,,,,,,,,,
AS14.07,2014-03-18 22:48:17.492,,,,,,,,7.144,,,,,,,,,,,
AS14.07,2014-03-18 22:48:24.638,,,,,,,,,99.648,,,,,,,,,,
AS14.07,2014-03-18 22:50:04.354,,,,,,,,31.327,,,,,,,,,,,
AS14.07,2014-03-18 22:50:35.700,,,,,,,,,31.113,,,,,,,,,,
AS14.07,2014-03-18 22:51:06.816,,,,,,,,3.018,,,,,,,,,,,
AS14.07,2014-03-18 22:51:09.842,,,,,,,,,,,,,,28.145,,,,,
AS14.07,2014-03-18 22:51:38.108,,,,,,,,7.021,,,,,,,,,,,
AS14.07,2014-03-18 22:51:45.132,,,,,,,,9.031,,,,,,,,,,,
AS14.07,2014-03-18 22:51:54.167,,,,,,,,1.024,,,,,,,,,,,
AS14.07,2014-03-18 22:51:55.194,,,,,,,,,7.027,,,,,,,,,,
AS14.07,2014-03-18 22:52:02.223,,,,,,,,3.007,,,,,,,,,,,
AS14.07,2014-03-18 22:52:05.233,,,,,,,,,,196.818,,,,,,,,,
AS14.07,2014-03-18 22:55:22.055,,,,,,,,,7.017,,,,,,,,,,
AS14.07,2014-03-18 22:55:29.075,,,,,,,,3.007,,,,,,,,,,,
AS14.07,2014-03-18 22:55:32.084,,,,,,,,,,152.139,,,,,,,,,
AS14.07,2014-03-18 22:58:04.236,,,,,,,,11.062,,,,,,,,,,,
AS14.07,2014-03-18 22:58:15.301,,,,,,,,31.169,,,,,,,,,,,
AS14.07,2014-03-18 22:58:46.473,,,,,,,,,51.179,,,,,,,,,,
AS14.07,2014-03-18 22:59:37.654,,,,,,,,13.051,,,,,,,,,,,
AS14.07,2014-03-18 22:59:50.707,,,,,,,,43.16,,,,,,,,,,,
AS14.07,2014-03-18 23:00:33.871,,,,,,,,9.043,,,,,,,,,,,
AS14.07,2014-03-18 23:00:42.917,,,,,,,,2.009,,,,,,,,,,,
AS14.07,2014-03-18 23:00:44.937,,,,,,,,14.43,,,,,,,,,,,
AS14.07,2014-03-18 23:00:59.403,,,,,,,,5.029,,,,,,,,,,,
AS14.07,2014-03-18 23:01:04.434,,,,,,,,20.161,,,,,,,,,,,
AS14.07,2014-03-18 23:01:24.598,,,,,,,,15.084,,,,,,,,,,,
AS14.07,2014-03-18 23:01:39.684,,,,,,,,4.011,,,,,,,,,,,
AS14.07,2014-03-18 23:01:43.697,,,,,,,,,,891.067,,,,,,,,,
AS14.07,2014-03-18 23:16:34.769,,,,,,,,31.152,,,,,,,,,,,
AS14.07,2014-03-18 23:34:43.747,,,,,283.723000049591,,,,,,,,,,,,,,
AS14.07,2014-03-18 23:34:43.780,,,,,,,,51.314,,,,,,,,,,,
AS14.07,2014-03-18 23:35:35.290,,,,,,,,,56.471,,,,,,,,,,
AS14.07,2014-03-18 23:36:31.765,,,,,,,,23.194,,,,,,,,,,,
AS14.07,2014-03-18 23:36:54.961,,,,,,,,,,,,,,,,,59.391,,
AS14.07,2014-03-18 23:37:54.374,,,,,,,,15.053,,,,,,,,,,,
AS14.07,2014-03-18 23:38:09.428,,,,,,,,,11.065,,,,,,,,,,
AS14.07,2014-03-18 23:38:20.496,,,,,,,,40.12,,,,,,,,,,,
