id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.16,2014-02-17 11:18:33.513,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-17 14:09:19.206,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-20 09:45:32.065,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-20 09:52:12.401,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-20 14:53:21.951,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-20 14:54:04.592,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-20 18:10:30.375,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-20 18:10:41.700,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-21 10:48:31.480,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-21 13:19:37.680,,,,,,,1.0,,,,,,,,,,,,
AS14.16,2014-02-22 18:04:37.888,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-22 23:22:27.599,,,,,,,1.0,,,,,,,,,,,,
AS14.16,2014-02-24 18:24:32.230,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-24 19:22:22.278,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-24 20:09:41.647,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-24 22:03:58.497,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-25 17:49:43.243,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-25 18:06:38.555,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-25 18:07:49.269,,,,,,,1.0,,,,,,,,,,,,
AS14.16,2014-02-25 19:41:50.085,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-26 10:52:32.890,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-26 19:20:55.931,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-26 19:22:56.687,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-27 14:43:49.354,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-27 20:40:37.493,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-27 21:17:14.782,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-28 01:03:55.424,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-02-28 02:43:39.213,,,,,,,1.0,,,,,,,,,,,,
AS14.16,2014-03-01 14:01:36.759,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-03-01 18:13:49.839,,,,,,1.0,,,,,,,,,,,,,
AS14.16,2014-03-01 18:14:39.990,,,,,,1.0,,,,,,,,,,,,,
