id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.28,2014-02-17 09:48:49.536,,,,,,,1.0,,,,,,,,,,,,
AS14.28,2014-02-17 15:01:52.561,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-02-19 13:53:38.762,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-02-19 21:39:42.581,,,,,,,1.0,,,,,,,,,,,,
AS14.28,2014-02-22 08:26:36.750,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-02-22 08:27:54.897,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-02-22 11:39:30.849,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-02-22 16:04:16.359,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-02-22 16:47:53.530,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-02-25 18:06:58.236,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-02-28 16:44:40.871,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-02-28 16:47:15.299,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-04 15:14:08.788,,,,,,,1.0,,,,,,,,,,,,
AS14.28,2014-03-05 16:31:04.513,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-06 16:10:56.530,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-07 14:45:11.417,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-15 21:04:02.811,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-15 21:05:04.542,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-15 22:53:28.384,,,,,,,1.0,,,,,,,,,,,,
AS14.28,2014-03-17 14:07:40.595,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-18 12:48:42.512,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-18 12:56:14.088,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-19 10:08:25.348,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-19 10:09:29.095,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-19 10:11:43.289,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-19 19:59:31.555,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-20 17:36:16.894,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-20 17:37:04.272,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-20 17:37:36.305,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-20 19:25:40.526,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-21 09:24:21.405,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-24 10:30:52.588,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-24 10:31:41.825,,,,,,,1.0,,,,,,,,,,,,
AS14.28,2014-03-24 15:23:43.496,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-24 15:43:22.010,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-26 14:36:29.576,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-26 14:41:28.775,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-27 18:58:22.630,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-28 17:50:22.756,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-28 18:14:38.582,,,,,,1.0,,,,,,,,,,,,,
AS14.28,2014-03-31 17:27:28.493,,,,,,,,2.029,,,,,,,,,,,
AS14.28,2014-03-31 18:00:00.000,7.0,1.0,1.0,0.0681818181818182,,,,,,,,,,,,,,,
AS14.28,2014-03-31 18:13:43.424,,,,,,,,,,,,,,,,,,3.045,
AS14.28,2014-03-31 18:16:42.578,,,,,,,,1.003,,,,,,,,,,,
AS14.28,2014-03-31 18:23:11.141,,,,,,,,,,,,,,,,,,3.132,
AS14.28,2014-03-31 18:39:50.111,,,,,,,,3.007,,,,,,,,,,,
AS14.28,2014-03-31 18:39:53.180,,,,,,,,,,,,,,17.445,,,,,
AS14.28,2014-03-31 18:40:10.631,,,,,,,,7.034,,,,,,,,,,,
AS14.28,2014-03-31 18:40:17.667,,,,,,,,83.816,,,,,,,,,,,
AS14.28,2014-03-31 18:42:09.477,,,,,,,,4.023,,,,,,,,,,,
AS14.28,2014-03-31 18:42:09.489,,,,,194.007999897003,,,,,,,,,,,,,,
AS14.28,2014-03-31 18:42:13.505,,,,,,,,2.005,,,,,,,,,,,
AS14.28,2014-03-31 18:42:15.510,,,,,,,,,,,10.042,,,,,,,,
AS14.28,2014-03-31 18:42:25.559,,,,,,,,,,,4.016,,,,,,,,
AS14.28,2014-03-31 18:42:29.575,,,,,,,,,,,145.439,,,,,,,,
AS14.28,2014-03-31 18:44:55.023,,,,,,,,2.005,,,,,,,,,,,
AS14.28,2014-03-31 18:44:57.030,,,,,,,,26.44,,,,,,,,,,,
AS14.28,2014-03-31 18:45:32.901,,,,,29.4409999847412,,,,,,,,,,,,,,
AS14.28,2014-03-31 18:45:32.904,,,,,,,,3.014,,,,,,,,,,,
AS14.28,2014-03-31 18:45:35.923,,,,,,,,1.002,,,,,,,,,,,
AS14.28,2014-03-31 18:45:36.930,,,,,,,,10.031,,,,,,,,,,,
