id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.29,2014-02-17 10:42:05.661,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-17 12:56:31.698,,,,,,1.0,,,,,,,,,,,,,
AS14.29,2014-02-17 21:29:14.596,,,,,,1.0,,,,,,,,,,,,,
AS14.29,2014-02-17 21:29:37.000,,,,,,1.0,,,,,,,,,,,,,
AS14.29,2014-02-19 20:24:08.503,,,,,,1.0,,,,,,,,,,,,,
AS14.29,2014-02-19 23:33:57.484,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-19 23:34:34.382,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-19 23:47:33.174,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-19 23:48:31.931,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-19 23:50:55.812,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-19 23:51:57.696,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-19 23:53:20.611,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-19 23:58:44.582,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-19 23:59:36.926,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-20 00:03:56.194,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-20 00:06:26.164,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-20 03:29:35.309,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-22 11:53:27.299,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-22 11:53:46.141,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-22 11:54:07.941,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-22 11:56:14.579,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-22 13:48:17.186,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-22 14:21:00.744,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-22 16:47:48.361,,,,,,1.0,,,,,,,,,,,,,
AS14.29,2014-02-22 20:10:01.453,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-22 20:11:26.789,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-23 11:27:39.836,,,,,,1.0,,,,,,,,,,,,,
AS14.29,2014-02-23 18:58:01.339,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-24 16:28:25.713,,,,,,,1.0,,,,,,,,,,,,
AS14.29,2014-02-25 14:32:08.714,,,,,,1.0,,,,,,,,,,,,,
AS14.29,2014-02-25 14:56:39.926,,,,,,1.0,,,,,,,,,,,,,
