id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_level
AS14.01,2014-02-17,,,,,,1.0,,,,,,,,,,,,,,low
AS14.01,2014-02-18,,,,,,1.0,,,,,,,,,,,,,,low
AS14.01,2014-02-19,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.01,2014-02-20,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.01,2014-02-21,,,,,,,1.0,,,,,,,,,,,,,low
AS14.01,2014-02-22,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.01,2014-02-23,,,,,,,,,,,,,,,,,,,,low
AS14.01,2014-02-24,,,,,,,,,,,,,,,,,,,,low
AS14.01,2014-02-25,,,,,,1.0,,,,,,,,,,,,,,low
AS14.01,2014-02-26,6.25,-0.25,0.75,,,1.0,1.0,,,,,,,,,,,,,medium
AS14.01,2014-02-27,6.333333333333333,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,medium
AS14.01,2014-02-28,,,,,,1.0,,,,,,,,,,,,,,low
AS14.01,2014-03-01,,,,,,,1.0,,,,,,,,,,,,,low
AS14.01,2014-03-02,,,,,,,,,,,,,,,,,,,,low
AS14.01,2014-03-03,,,,,,1.0,,,,,,,,,,,,,,low
AS14.01,2014-03-04,,,,,,,,,,,,,,,,,,,,low
AS14.01,2014-03-05,,,,,,1.0,,,,,,,,,,,,,,low
AS14.01,2014-03-06,,,,,,1.0,,,,,,,,,,,,,,low
AS14.01,2014-03-07,,,,,,1.0,,,,,,,,,,,,,,low
AS14.01,2014-03-08,,,,,,,,,,,,,,,,,,,,low
AS14.01,2014-03-09,,,,,,,,,,,,,,,,,,,,low
AS14.01,2014-03-10,,,,,,1.0,,,,,,,,,,,,,,low
AS14.01,2014-03-11,,,,,,1.0,,,,,,,,,,,,,,low
AS14.01,2014-03-12,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.01,2014-03-13,,,,,,1.0,,,,,,,,,,,,,,low
AS14.01,2014-03-14,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.01,2014-03-15,,,,,,,1.0,,,,,,,,,,,,,low
AS14.01,2014-03-16,,,,,,,1.0,,,,,,,,,,,,,low
AS14.01,2014-03-17,,,,,,,1.0,,,,,,,,,,,,,low
AS14.01,2014-03-18,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.01,2014-03-19,,,,,,1.0,,,,,,,,,,,,,,low
AS14.01,2014-03-20,,,,0.081547619047619,252.8826666937934,1.0,,5.928071428571429,58.600783783783776,58.476,,,,5.6725,73.43009090909091,,45.173,10.537,,low
AS14.01,2014-03-21,6.2,0.2,0.2,0.1340501039893886,153.665871795426,1.0,,14.269172727272728,55.09552631578948,53.024,6.193,,57.40200000000001,29.968875,75.14166666666667,70.41884615384616,,23.029,,medium
AS14.01,2014-03-22,6.4,0.6,0.6,0.2368802192399581,47.61365115919778,1.0,1.0,7.781159574468085,51.6970625,46.662,7.025333333333333,,,14.020428571428573,36.636,37.305,,39.207,,medium
AS14.01,2014-03-23,6.8,0.2,0.8,0.1427411158050636,67.06764357868985,,,12.134396226415095,53.4420306122449,31.448666666666668,10.85075,,,12.137166666666667,50.04661111111111,,,30.086,30.386,medium
AS14.01,2014-03-24,6.0,0.8,0.0,0.0789610561155979,76.77219898238471,1.0,,4.982505747126437,47.541687179487184,122.121375,5.684333333333334,,3.01,11.093000000000002,74.9680465116279,83.961,,89.366,,low
AS14.01,2014-03-25,6.75,0.5,0.5,0.0983741123905067,169.0972834572078,,1.0,10.026873786407767,69.43750675675676,34.103,10.7635,,,29.80316666666667,68.55253571428571,,29.402875,22.2893,,medium
AS14.01,2014-03-26,6.6,-0.2,0.6,0.1013083216700759,94.38966092159006,,,8.460123188405797,47.061534031413615,130.06842857142857,8.721833333333334,,,16.249666666666666,124.1097027027027,,,33.365,,medium
AS14.01,2014-03-27,7.0,0.2,0.8,0.1595106409690974,129.2011111065193,1.0,1.0,7.982642857142857,43.3532,71.03766666666667,14.073,,15.20425,9.755333333333333,71.95238461538462,23.657,,16.275363636363636,,medium
AS14.01,2014-03-28,6.4,-0.6,0.6,0.0956980216371201,55.94873863187704,1.0,,81.14995967741935,24.078694444444444,91.40027272727274,12.738,116.518,,37.6585,25.63705,59.63205263157895,,30.1717,,medium
AS14.01,2014-03-29,8.0,0.2,1.0,0.0682028101018696,130.04096874594688,1.0,1.0,23.52566265060241,47.73143859649123,108.49526666666668,,,,24.227714285714285,59.111,17.47833333333333,,25.026541666666663,,medium
AS14.01,2014-03-30,7.5,-0.5,0.75,0.049092970521542,167.52644447927136,,,7.818207547169812,61.83357142857143,170.63077777777778,,,,12.333833333333333,55.895,,33.2385,38.296,,medium
AS14.01,2014-03-31,7.4,0.0,0.6,0.0705054808833895,95.45833871249226,1.0,,17.01956896551724,41.33827131782945,51.73294117647059,6.875833333333333,51.176,,24.414,56.27729166666666,36.6762,29.29,12.370882352941177,,medium
AS14.01,2014-04-01,6.0,0.2,0.0,0.118443242712736,90.38897895812988,1.0,,5.749033195020747,33.12785869565217,42.94320833333333,15.21738888888889,78.247,30.796000000000003,15.14875,45.81879090909091,115.33007142857144,,19.171703703703702,,low
AS14.01,2014-04-02,6.5,0.0825,0.7,0.1019166106382234,94.50668584034509,1.0,,16.428859090909093,33.75685853658536,46.32331034482758,13.040894736842104,,90.481,23.54526086956521,64.69418867924529,,,21.3356875,,medium
AS14.01,2014-04-03,6.4,-1.2,0.0,0.049238472708441,79.8575932863933,1.0,,9.175747035573124,46.42470096463023,49.75503846153846,25.41133333333333,,,14.260133333333334,44.42592957746479,19.082,,14.059384615384618,,medium
AS14.01,2014-04-04,6.2,0.2,0.4,0.1266893112073258,80.38578571437245,1.0,1.0,10.197026041666666,44.566081300813,96.5766875,,,,22.100125,71.93782758620691,22.60585714285714,,9.899384615384616,,medium
AS14.01,2014-04-05,6.8,-0.4,0.6,0.1190023022034455,53.022714285623465,,,163.00204301075271,37.70818,76.369,,,,11.590428571428571,45.401,31.324166666666667,,13.217333333333334,,medium
AS14.01,2014-04-06,6.5,-0.75,0.5,0.0644077994424681,82.05848351415696,1.0,,33.94523880597015,47.93918571428571,93.607,,57.203,,19.85333333333333,64.292,,,9.2498,,medium
AS14.01,2014-04-07,6.5,-0.64,0.25,0.0506706211743178,80.70804098199623,1.0,,7.079213740458015,57.01562015503876,74.52016666666667,9.2256,,17.107,21.2935,61.47575,60.247,,51.45275000000001,,medium
AS14.01,2014-04-08,6.6,-0.4,0.5980000000000001,0.0753270582613484,71.23175472583411,1.0,,5.685917197452229,49.10649222797928,165.07042857142858,6.377,,,29.93057142857143,59.00268888888889,,,18.0715,,medium
AS14.01,2014-04-09,7.4,-0.8,0.98,0.1203841145323287,67.45417413426871,1.0,,9.582555555555556,38.1300987654321,78.3975,,,,43.33175,44.16171875,,,115.4718,,medium
AS14.01,2014-04-10,7.4,-0.4,0.8,0.078963105194891,101.04455433980284,1.0,,6.685560747663551,65.08548,154.90775,,1.059,23.195,13.489875,39.15723333333334,,,25.179133333333333,,medium
AS14.01,2014-04-11,7.0,-1.2,0.8,0.0799862020730605,85.58411382271994,,,24.064507142857146,27.57514049586777,123.508625,15.682166666666667,,,8.575333333333333,45.90823076923077,34.234,,23.849777777777778,,medium
AS14.01,2014-04-12,7.25,-0.75,0.75,0.0722490614703181,250.0172127865729,,,5.600851851851853,143.37136956521738,182.2068333333333,,,,11.290428571428572,44.072,5.031,,14.09568,,medium
AS14.01,2014-04-13,8.0,-1.25,1.0,0.0140213289543707,57.307171406064725,,,6.301619718309859,47.68673913043479,62.348,9.157,,,8.564454545454545,17.250999999999998,,,,,medium
AS14.01,2014-04-14,7.2,-1.2,0.6,0.0838873144698841,138.34959999414593,1.0,1.0,5.463528409090909,51.47844444444444,216.05365517241376,14.887166666666667,,,12.091333333333331,162.33249999999998,14.552,,34.00048275862069,,medium
AS14.01,2014-04-15,6.4,0.0,0.8,0.0901121527807252,101.38226118194528,1.0,1.0,6.735679324894515,40.68124836601307,49.71168421052632,4.347666666666666,,,18.4025,100.64113636363636,8.363,,19.985214285714285,,medium
AS14.01,2014-04-16,7.2,0.514,0.764,0.1161103361271222,75.89378787243007,,1.0,6.198744966442954,36.9644,23.707444444444445,,,,6.797333333333333,65.96041379310346,,,22.3587,,medium
AS14.01,2014-04-17,6.75,0.0,0.75,0.0569178566720968,150.1848000073434,1.0,,4.8867345132743365,108.74622935779816,28.448200000000003,,,,10.7526,70.2382,,,16.572666666666667,,medium
AS14.01,2014-04-18,6.8,-0.8,0.8,0.094033006694976,156.86894185598496,1.0,,13.583197080291972,65.14215853658537,86.03933333333333,17.023285714285713,,,6.827,199.3922,21.29133333333333,,22.17,,medium
AS14.01,2014-04-19,7.8,-0.2,1.0,0.0994319117238402,162.1127804953878,1.0,,7.630564516129032,35.431948051948055,78.21233333333333,15.938166666666666,29.084,,6.2964,36.06109090909092,64.445,,33.977333333333334,,medium
AS14.01,2014-04-20,7.25,-0.25,0.75,0.0748162430431159,93.7473932625203,1.0,1.0,6.144424657534247,57.29567816091954,60.62433333333333,5.303,,,6.8404,93.23925,,,12.1035,,medium
AS14.01,2014-04-21,7.6,-0.324,1.0,0.1020410589682471,64.96594913935257,1.0,,33.419728155339804,43.572760869565215,18.72,11.088666666666668,,,11.6098,61.28171428571428,22.75933333333333,,21.0882,,medium
AS14.01,2014-04-22,7.4,0.2,1.0,0.091929551822292,84.64628414899272,1.0,,12.09264480874317,46.75272839506173,39.32203571428572,6.408833333333333,,,10.526666666666666,67.74038095238095,,,20.15309523809524,,medium
AS14.01,2014-04-23,7.6,0.2,1.0,0.0459856891337655,96.90226666291557,1.0,,7.963676056338027,54.11195151515151,38.603,6.017,,,7.066333333333333,43.88316666666666,,,22.449454545454543,,medium
AS14.01,2014-04-24,7.6,-0.4,1.0,0.0509029881940343,206.41568224452377,1.0,,9.646519736842103,64.61422,103.83662790697676,41.9874,,,7.98325,76.8153142857143,17.061333333333334,,23.103129032258064,,medium
AS14.01,2014-04-25,7.2,-0.2,0.8,0.1090610636368274,99.10597162889252,1.0,1.0,6.289330769230769,51.261577464788736,50.064,7.023666666666666,,,11.4745,96.85626086956522,21.10533333333333,,20.46905882352941,,medium
AS14.01,2014-04-26,7.6,-0.2,1.0,0.2142487716242349,221.17169999054497,1.0,1.0,8.732515151515152,59.71760465116279,125.556,6.816749999999999,,,9.241,789.459,23.53865,3.148,15.036333333333337,,medium
AS14.01,2014-04-27,7.5,-0.25,1.0,0.0304789237989636,107.5577735855895,,,15.747731707317074,50.65620833333333,137.29281818181818,,,,105.6684,13.735,,,10.056333333333331,,medium
AS14.01,2014-04-28,7.6,-0.8,0.8,0.0196753225383989,121.43629213129532,1.0,,11.508780701754386,55.263200000000005,110.6027142857143,51.69477777777777,,,12.097333333333331,201.99441666666667,,,17.281499999999998,,medium
AS14.01,2014-04-29,7.0,-0.3299999999999999,1.0,0.1027582485295044,77.1891372460945,,,38.056928057553954,48.53981012658228,65.10554166666667,,166.6525,,8.0944,102.87125,20.991,,21.601894736842105,,medium
AS14.01,2014-04-30,7.8,-0.4,0.8019999999999999,0.1510514590407472,79.78786955709043,1.0,,7.160703389830508,34.140557692307695,33.657466666666664,62.50366666666667,,,23.222875,9.907333333333334,17.049875,,22.459,,medium
AS14.01,2014-05-01,8.0,-0.4,1.0,0.037065268147657,81.24058637943567,1.0,1.0,9.380565,40.75328358208955,58.85825,29.357866666666663,,28.098,7.405,144.67476470588235,,,17.971266666666665,,medium
AS14.01,2014-05-02,7.6,-0.2,1.0,0.0773410192967756,120.70815200614928,,,6.628633333333334,58.27880882352941,58.81466666666668,34.508,,,6.4886,45.36858823529411,,,5.5415,,medium
