id,time,appCat.utilities
AS14.01,2014-04-01 08:17:53.757,1.019
AS14.01,2014-04-01 08:17:54.780,13.569
AS14.01,2014-04-01 08:21:58.892,97.067
AS14.01,2014-04-01 08:27:29.137,16.064
AS14.01,2014-04-01 08:46:40.209,14.126
AS14.01,2014-04-01 08:50:02.446,10.046
AS14.01,2014-04-01 11:02:51.134,12.062
AS14.01,2014-04-01 11:03:44.586,11.033
AS14.01,2014-04-01 11:24:14.483,12.032
AS14.01,2014-04-01 11:41:07.109,17.057
AS14.01,2014-04-01 11:48:58.799,15.162
AS14.01,2014-04-01 11:52:22.176,1.015
AS14.01,2014-04-01 11:52:23.191,15.066
AS14.01,2014-04-01 11:53:01.512,15.068
AS14.01,2014-04-01 12:08:49.793,15.06
AS14.01,2014-04-01 13:06:11.563,2.009
AS14.01,2014-04-01 13:06:13.575,20.173
AS14.01,2014-04-01 13:07:00.914,9.035
AS14.01,2014-04-01 13:07:36.075,2.012
AS14.01,2014-04-01 13:09:51.305,57.206
AS14.01,2014-04-01 13:11:09.592,16.042
AS14.01,2014-04-01 13:15:19.556,27.241
AS14.01,2014-04-01 13:16:02.884,40.121
AS14.01,2014-04-01 13:17:01.311,54.214
AS14.01,2014-04-02 07:31:24.482,28.396
AS14.01,2014-04-02 12:12:39.756,115.338
AS14.01,2014-04-02 12:16:11.596,4.069
AS14.01,2014-04-02 12:17:12.049,10.318
AS14.01,2014-04-02 12:17:44.634,10.046
AS14.01,2014-04-02 12:26:14.463,64.179
AS14.01,2014-04-02 12:27:25.865,25.146
AS14.01,2014-04-02 12:29:18.414,4.145
AS14.01,2014-04-02 13:50:47.022,7.063
AS14.01,2014-04-02 13:53:27.979,3.229
AS14.01,2014-04-02 21:14:48.977,11.052
AS14.01,2014-04-02 21:15:25.487,4.014
AS14.01,2014-04-02 21:24:12.960,27.132
AS14.01,2014-04-02 21:25:08.368,2.023
AS14.01,2014-04-02 22:13:08.542,1.005
AS14.01,2014-04-02 22:13:09.552,24.216
AS14.01,2014-04-03 00:36:54.079,46.444
AS14.01,2014-04-03 09:41:17.338,24.084
AS14.01,2014-04-03 09:42:18.921,1.007
AS14.01,2014-04-03 09:54:35.855,3.009
AS14.01,2014-04-03 21:44:35.520,17.079
AS14.01,2014-04-03 21:46:33.051,23.283
AS14.01,2014-04-03 21:49:27.063,21.288
AS14.01,2014-04-03 22:08:20.982,1.005
AS14.01,2014-04-03 22:08:22.006,9.083
AS14.01,2014-04-03 22:51:35.338,16.243
AS14.01,2014-04-03 23:20:18.127,3.026
AS14.01,2014-04-03 23:39:35.704,15.066
AS14.01,2014-04-03 23:41:14.076,2.155
AS14.01,2014-04-04 11:55:03.812,1.019
AS14.01,2014-04-04 11:55:04.838,20.093
AS14.01,2014-04-04 13:41:50.742,1.027
AS14.01,2014-04-04 13:41:51.772,34.123
AS14.01,2014-04-04 14:33:20.894,15.082
AS14.01,2014-04-04 16:19:14.101,1.003
AS14.01,2014-04-04 16:19:15.108,10.104
AS14.01,2014-04-04 16:22:06.065,6.096
AS14.01,2014-04-04 16:28:06.125,3.021
AS14.01,2014-04-04 19:48:40.601,1.002
AS14.01,2014-04-04 19:48:41.605,15.057
AS14.01,2014-04-04 21:12:43.996,1.003
AS14.01,2014-04-04 21:12:45.006,20.062
AS14.01,2014-04-05 06:19:22.631,17.05
AS14.01,2014-04-05 12:25:49.440,27.306
AS14.01,2014-04-05 12:26:46.095,11.031
AS14.01,2014-04-05 12:27:13.411,7.12
AS14.01,2014-04-05 12:28:25.887,4.105
AS14.01,2014-04-05 12:28:50.035,18.057
AS14.01,2014-04-05 12:29:12.118,2.176
AS14.01,2014-04-05 16:58:13.477,27.081
AS14.01,2014-04-05 18:14:46.426,5.03
AS14.01,2014-04-06 14:28:42.566,4.033
AS14.01,2014-04-06 14:32:01.262,15.049
AS14.01,2014-04-06 16:30:18.278,4.094
AS14.01,2014-04-06 18:04:22.025,19.06
AS14.01,2014-04-06 18:06:47.779,4.013
AS14.01,2014-04-07 12:39:50.546,1.002
AS14.01,2014-04-07 12:39:51.558,130.442
AS14.01,2014-04-07 22:43:48.154,70.305
AS14.01,2014-04-07 22:46:24.032,4.062
AS14.01,2014-04-08 11:03:33.496,14.071
AS14.01,2014-04-08 19:11:10.641,22.072
AS14.01,2014-04-09 12:37:31.329,19.348
AS14.01,2014-04-09 21:36:53.377,76.443
AS14.01,2014-04-09 21:38:12.861,358.104
AS14.01,2014-04-09 21:44:37.897,12.047
AS14.01,2014-04-09 23:54:30.096,111.417
AS14.01,2014-04-10 01:00:40.052,1.002
AS14.01,2014-04-10 01:00:41.055,12.055
AS14.01,2014-04-10 01:02:37.392,13.962
AS14.01,2014-04-10 01:05:56.345,81.652
AS14.01,2014-04-10 01:12:00.549,18.551
AS14.01,2014-04-10 01:13:05.479,20.268
AS14.01,2014-04-10 12:47:41.884,22.291
AS14.01,2014-04-10 12:49:38.562,17.059
AS14.01,2014-04-10 16:52:06.746,11.034
AS14.01,2014-04-10 19:25:54.954,1.015
AS14.01,2014-04-10 19:25:55.976,6.183
AS14.01,2014-04-10 19:39:28.440,19.065
AS14.01,2014-04-10 19:40:54.815,5.017
AS14.01,2014-04-10 19:41:37.224,36.895
AS14.01,2014-04-10 19:42:22.773,111.638
AS14.01,2014-04-11 11:57:19.585,2.006
AS14.01,2014-04-11 11:57:52.980,4.011
AS14.01,2014-04-11 13:05:33.726,19.077
AS14.01,2014-04-11 13:07:51.318,27.204
AS14.01,2014-04-11 17:21:48.684,1.005
AS14.01,2014-04-11 17:21:49.696,82.381
AS14.01,2014-04-11 17:47:06.381,31.578
AS14.01,2014-04-11 19:48:02.700,43.167
AS14.01,2014-04-11 19:59:40.368,4.219
AS14.01,2014-04-12 10:17:28.736,19.081
AS14.01,2014-04-12 10:18:03.872,4.027
AS14.01,2014-04-12 10:22:55.430,8.04
AS14.01,2014-04-12 10:23:05.542,4.015
AS14.01,2014-04-12 10:23:11.568,8.163
AS14.01,2014-04-12 10:23:25.757,17.055
AS14.01,2014-04-12 10:23:44.829,2.012
AS14.01,2014-04-12 10:23:53.887,2.013
AS14.01,2014-04-12 10:53:34.575,7.018
AS14.01,2014-04-12 13:41:17.892,17.337
AS14.01,2014-04-12 16:45:25.690,54.415
AS14.01,2014-04-12 19:50:33.789,6.149
AS14.01,2014-04-12 19:55:06.707,5.022
AS14.01,2014-04-12 20:44:03.562,24.083
AS14.01,2014-04-12 20:45:40.959,2.217
AS14.01,2014-04-12 21:47:27.479,3.022
AS14.01,2014-04-12 21:47:37.520,2.009
AS14.01,2014-04-12 22:42:51.746,1.004
AS14.01,2014-04-12 22:42:52.752,44.157
AS14.01,2014-04-12 22:43:41.950,13.045
AS14.01,2014-04-12 22:44:50.266,2.046
AS14.01,2014-04-12 22:49:35.552,87.389
AS14.01,2014-04-12 22:51:39.105,6.033
AS14.01,2014-04-12 22:52:50.901,4.012
AS14.01,2014-04-12 22:56:06.713,9.028
AS14.01,2014-04-14 07:50:38.467,14.113
AS14.01,2014-04-14 08:51:23.371,12.042
AS14.01,2014-04-14 08:56:50.858,2.012
AS14.01,2014-04-14 09:17:22.653,6.025
AS14.01,2014-04-14 09:20:20.493,9.388
AS14.01,2014-04-14 09:20:39.555,15.347
AS14.01,2014-04-14 09:23:26.608,6.018
AS14.01,2014-04-14 09:31:29.684,51.168
AS14.01,2014-04-14 09:33:08.078,133.417
AS14.01,2014-04-14 10:10:28.426,3.1
AS14.01,2014-04-14 14:10:45.563,1.001
AS14.01,2014-04-14 14:10:46.566,1.614
AS14.01,2014-04-14 14:10:53.529,25.102
AS14.01,2014-04-14 14:47:25.865,20.19
AS14.01,2014-04-14 14:50:03.434,5.165
AS14.01,2014-04-14 14:51:57.134,4.022
AS14.01,2014-04-14 19:34:48.112,58.216
AS14.01,2014-04-14 19:36:49.545,111.41
AS14.01,2014-04-14 21:55:41.198,20.424
AS14.01,2014-04-14 22:28:08.174,21.087
AS14.01,2014-04-14 22:35:28.812,164.738
AS14.01,2014-04-14 22:39:16.358,16.135
AS14.01,2014-04-14 22:41:29.641,34.102
AS14.01,2014-04-14 22:56:30.009,66.214
AS14.01,2014-04-14 22:58:33.660,1.003
AS14.01,2014-04-14 23:00:30.858,63.347
AS14.01,2014-04-14 23:39:05.394,18.07
AS14.01,2014-04-14 23:43:31.767,80.284
