id,time,appCat.travel
AS14.01,2014-04-26 12:36:38.467,6.029
AS14.01,2014-04-26 12:36:48.536,3.006
AS14.01,2014-04-26 12:37:01.701,15.009
AS14.01,2014-04-26 12:39:57.132,10.079
AS14.01,2014-04-26 19:20:30.588,75.954
AS14.01,2014-04-29 11:26:45.378,34.954
AS14.01,2014-04-29 11:29:56.058,7.028
AS14.01,2014-04-30 13:32:17.645,84.777
AS14.01,2014-04-30 14:10:40.276,22.221
AS14.01,2014-04-30 14:12:48.644,1.267
AS14.01,2014-04-30 14:14:12.742,2.808
AS14.01,2014-04-30 14:14:58.819,3.404
AS14.01,2014-04-30 14:15:37.375,44.594
AS14.01,2014-04-30 14:17:14.628,7.225
AS14.01,2014-04-30 14:17:59.957,6.024
AS14.01,2014-04-30 14:18:13.016,46.909
AS14.01,2014-04-30 14:19:25.470,2.085
AS14.01,2014-04-30 14:22:29.233,11.875
AS14.01,2014-04-30 14:22:44.427,5.357
AS14.01,2014-04-30 14:23:57.592,3.008
AS14.01,2014-04-30 14:30:04.520,16.124
AS14.01,2014-04-30 14:32:35.438,4.075
AS14.01,2014-04-30 14:34:24.993,11.045
AS14.01,2014-05-03 20:10:27.733,143.631
AS14.02,2014-03-15 11:46:57.217,16.184
AS14.02,2014-03-15 11:49:06.525,17.042
AS14.02,2014-03-15 11:52:09.759,45.746
AS14.02,2014-03-15 11:59:44.589,2.022
AS14.02,2014-03-15 11:59:47.630,4.036
AS14.02,2014-03-15 12:03:59.296,34.3
AS14.02,2014-03-15 13:05:45.005,3.293
AS14.02,2014-03-15 13:09:21.644,3.077
AS14.02,2014-03-19 18:46:29.017,96.495
AS14.02,2014-03-19 18:48:23.191,12.432
AS14.02,2014-03-19 18:50:45.542,9.949
AS14.02,2014-03-19 18:50:59.354,6.354
AS14.02,2014-03-19 18:53:39.625,6.882
AS14.02,2014-03-19 18:54:09.443,10.161
AS14.02,2014-03-19 18:55:32.789,10.229
AS14.02,2014-03-19 18:59:58.934,48.157
AS14.02,2014-03-19 19:01:17.398,4.384
AS14.02,2014-03-19 19:15:42.319,3.467
AS14.02,2014-03-19 19:16:24.117,61.237
AS14.02,2014-03-19 19:18:56.046,10.262
AS14.02,2014-03-19 19:29:06.298,5.0
AS14.02,2014-03-19 19:40:04.357,10.135
AS14.02,2014-03-19 19:40:26.976,14.409
AS14.02,2014-03-19 20:12:15.015,3.236
AS14.02,2014-03-19 20:12:43.091,4.719
AS14.02,2014-03-19 20:16:13.464,19.351
AS14.02,2014-03-19 20:16:33.724,3.585
AS14.02,2014-03-19 20:21:05.378,12.905
AS14.02,2014-03-19 20:23:06.296,10.723
AS14.02,2014-03-19 20:23:22.355,34.632
AS14.02,2014-03-19 20:23:59.417,29.77
AS14.02,2014-03-19 20:24:32.467,27.879
AS14.02,2014-03-19 20:25:11.927,57.945
AS14.02,2014-03-19 20:47:53.292,12.131
AS14.02,2014-03-19 21:01:51.463,3.606
AS14.02,2014-03-19 21:44:38.338,14.051
AS14.02,2014-03-19 21:56:53.786,3.675
AS14.02,2014-03-19 21:58:33.437,12.489
AS14.02,2014-03-19 22:06:11.214,3.41
AS14.02,2014-03-19 22:07:19.984,3.505
AS14.02,2014-03-21 15:49:54.365,35.288
AS14.02,2014-03-21 15:51:32.503,53.407
AS14.02,2014-03-21 15:52:38.854,60.215
AS14.02,2014-03-21 15:59:13.946,3.528
AS14.02,2014-03-21 15:59:50.789,10.113
AS14.02,2014-03-21 16:02:10.750,29.026
AS14.02,2014-03-21 16:08:16.003,31.957
AS14.02,2014-03-21 16:11:42.253,25.88
AS14.02,2014-03-21 16:14:05.631,9.334
AS14.02,2014-03-21 16:16:42.436,4.503
AS14.02,2014-03-21 16:18:46.936,48.092
AS14.02,2014-03-21 23:17:34.835,62.046
AS14.02,2014-03-21 23:23:34.119,14.256
AS14.02,2014-03-21 23:24:08.278,13.418
AS14.02,2014-03-21 23:24:27.671,12.171
AS14.02,2014-03-21 23:33:38.546,9.159
AS14.02,2014-03-21 23:33:53.864,17.846
AS14.02,2014-03-21 23:35:11.009,2.057
AS14.02,2014-03-22 10:28:39.338,95.839
AS14.02,2014-03-22 10:30:54.229,5.314
AS14.02,2014-03-22 10:31:02.148,5.116
AS14.02,2014-03-22 14:13:48.825,78.355
AS14.02,2014-03-22 14:16:32.255,12.758
AS14.02,2014-03-22 14:16:47.680,4.714
AS14.02,2014-03-22 14:20:45.553,10.104
AS14.02,2014-03-22 14:23:06.286,42.448
AS14.02,2014-03-22 14:23:57.608,11.841
AS14.02,2014-03-22 14:28:07.311,12.017
AS14.02,2014-03-22 14:31:17.368,22.114
AS14.02,2014-03-22 14:32:15.240,26.371
AS14.02,2014-03-22 14:38:56.190,21.05
AS14.02,2014-03-22 14:52:43.436,43.613
AS14.02,2014-03-22 14:53:32.621,7.02
AS14.02,2014-03-22 15:02:48.463,34.282
AS14.02,2014-03-22 15:03:54.158,12.719
AS14.02,2014-03-22 15:07:16.528,6.634
AS14.02,2014-03-22 15:09:27.773,14.716
AS14.02,2014-03-22 15:09:55.627,10.1
AS14.02,2014-03-22 15:10:08.673,10.578
AS14.02,2014-03-22 15:19:02.065,57.459
AS14.02,2014-03-22 15:50:42.525,4.912
AS14.02,2014-03-22 15:54:08.263,10.343
AS14.02,2014-03-22 15:58:05.733,32.5
AS14.02,2014-03-22 16:03:50.266,4.141
AS14.02,2014-03-22 16:04:41.365,11.57
AS14.02,2014-03-22 16:05:16.275,15.508
AS14.02,2014-03-22 16:05:39.203,14.758
AS14.02,2014-03-22 16:06:29.266,3.615
AS14.02,2014-03-22 16:09:27.305,12.814
AS14.02,2014-03-22 16:17:06.709,2.005
AS14.02,2014-03-22 16:17:09.900,22.631
AS14.02,2014-03-22 16:17:35.210,2.018
AS14.02,2014-03-22 16:17:38.418,32.85
AS14.02,2014-03-22 16:18:21.260,13.123
AS14.02,2014-03-22 16:21:33.486,5.644
AS14.02,2014-03-22 16:23:57.517,36.761
AS14.02,2014-03-22 22:22:02.270,10.262
AS14.02,2014-03-23 09:15:14.963,42.246
AS14.02,2014-03-23 09:16:00.197,58.426
AS14.02,2014-03-23 09:18:41.664,12.69
AS14.02,2014-03-23 09:18:56.552,40.68
AS14.02,2014-03-23 09:20:03.980,31.15
AS14.02,2014-03-23 09:20:51.075,36.701
AS14.02,2014-03-23 09:22:13.549,62.248
AS14.02,2014-03-23 09:23:17.578,32.147
AS14.02,2014-03-23 09:24:15.542,31.39
AS14.02,2014-03-23 09:29:23.687,2.005
AS14.02,2014-03-23 09:29:36.980,1.08
AS14.02,2014-03-23 11:09:28.249,3.497
AS14.02,2014-03-23 11:11:44.579,7.458
AS14.02,2014-03-23 11:21:57.996,3.98
AS14.02,2014-03-23 11:22:04.858,12.334
AS14.02,2014-03-23 11:23:08.017,30.162
AS14.02,2014-03-23 12:13:35.698,4.975
AS14.02,2014-03-23 12:17:20.924,4.236
AS14.02,2014-03-23 12:24:15.066,10.456
AS14.02,2014-03-23 12:28:17.017,6.104
AS14.02,2014-03-23 12:29:04.525,5.732
AS14.02,2014-03-23 12:34:21.391,8.726
AS14.02,2014-03-23 12:34:33.223,10.367
AS14.02,2014-03-23 13:00:29.655,13.55
AS14.02,2014-03-23 13:14:36.463,3.082
AS14.02,2014-03-23 13:14:50.622,2.603
AS14.02,2014-03-23 13:41:45.739,3.463
AS14.02,2014-03-23 13:47:20.055,62.374
AS14.02,2014-03-23 13:50:07.891,3.717
AS14.02,2014-03-23 13:51:51.398,32.493
AS14.02,2014-03-23 13:56:49.117,42.905
AS14.02,2014-03-23 13:59:49.628,29.144
AS14.02,2014-03-23 14:11:38.592,29.335
AS14.02,2014-03-23 14:14:50.013,143.802
AS14.02,2014-03-23 14:20:41.546,48.388
AS14.02,2014-03-23 14:26:47.339,4.022
AS14.02,2014-03-23 15:03:51.216,21.902
AS14.02,2014-03-23 15:04:13.122,39.942
AS14.02,2014-03-23 15:07:26.993,87.513
AS14.02,2014-03-23 15:11:47.009,37.49
AS14.02,2014-03-23 15:21:13.842,9.917
AS14.02,2014-03-23 15:25:55.427,7.703
AS14.02,2014-03-23 15:36:32.641,4.26
AS14.02,2014-03-23 22:39:51.112,13.641
AS14.02,2014-03-23 22:40:07.479,90.75
AS14.02,2014-03-23 22:46:28.404,8.214
AS14.02,2014-03-23 22:50:12.421,12.239
AS14.02,2014-03-23 22:54:40.210,14.738
AS14.02,2014-03-23 23:01:34.852,8.922
AS14.02,2014-03-23 23:03:23.630,10.175
AS14.02,2014-03-23 23:08:06.582,5.216
AS14.02,2014-03-23 23:11:41.936,2.274
AS14.02,2014-03-23 23:13:25.881,10.625
AS14.02,2014-03-29 09:19:53.361,64.037
AS14.02,2014-03-29 09:23:10.321,4.066
AS14.02,2014-03-29 10:15:26.835,7.315
AS14.02,2014-03-29 10:20:38.371,10.307
AS14.02,2014-03-29 10:25:43.071,11.919
AS14.02,2014-03-29 10:26:32.134,12.215
AS14.02,2014-03-29 10:34:13.690,5.441
AS14.02,2014-03-29 10:35:00.698,7.757
AS14.02,2014-03-29 10:47:32.377,4.158
AS14.02,2014-03-29 10:51:00.595,4.801
AS14.02,2014-03-29 10:59:54.243,4.184
AS14.02,2014-03-29 11:01:51.407,3.064
AS14.02,2014-03-29 13:04:06.680,60.655
AS14.02,2014-03-29 13:05:07.993,66.668
AS14.02,2014-03-29 13:08:47.365,3.084
AS14.02,2014-03-29 13:09:08.286,35.956
AS14.02,2014-03-29 13:09:45.690,10.412
AS14.02,2014-03-29 13:11:22.551,3.193
AS14.02,2014-03-29 13:12:35.601,5.325
AS14.02,2014-03-29 13:12:45.243,13.566
AS14.02,2014-03-29 13:13:03.221,54.888
AS14.02,2014-03-29 13:14:39.322,3.224
AS14.02,2014-03-29 13:41:07.490,12.62
AS14.02,2014-03-29 13:56:26.286,28.382
AS14.02,2014-03-29 14:03:11.408,3.44
AS14.02,2014-03-29 14:05:06.556,16.971
AS14.02,2014-03-29 14:05:54.313,13.549
AS14.02,2014-03-29 14:06:38.272,11.098
AS14.02,2014-03-29 14:08:27.747,3.157
AS14.02,2014-03-29 14:08:41.279,6.029
AS14.02,2014-03-29 14:43:28.710,4.074
AS14.02,2014-03-29 14:44:42.121,6.089
AS14.02,2014-04-01 19:57:15.334,52.7
AS14.02,2014-04-01 20:33:52.974,1.008
AS14.02,2014-04-01 20:34:12.957,1.35
AS14.02,2014-04-01 20:34:15.819,7.48
AS14.02,2014-04-01 20:34:25.023,10.24
AS14.02,2014-04-01 20:34:35.266,272.422
AS14.02,2014-04-03 17:20:24.936,66.015
AS14.02,2014-04-03 17:21:49.101,58.071
AS14.02,2014-04-03 17:23:49.489,40.544
AS14.02,2014-04-03 17:25:29.377,66.895
AS14.02,2014-04-03 17:26:39.114,6.364
AS14.02,2014-04-03 17:31:26.474,3.454
AS14.02,2014-04-03 17:45:45.638,13.483
AS14.02,2014-04-03 21:01:05.851,1.067
AS14.02,2014-04-03 21:07:46.990,4.192
AS14.02,2014-04-03 21:08:07.076,28.805
AS14.02,2014-04-03 21:08:42.961,25.094
AS14.02,2014-04-03 21:10:15.819,4.31
AS14.02,2014-04-05 15:43:49.068,1.422
AS14.02,2014-04-05 15:44:41.426,12.664
AS14.02,2014-04-05 15:46:32.561,13.483
AS14.02,2014-04-05 15:47:13.095,15.324
AS14.02,2014-04-05 15:47:58.569,10.207
AS14.02,2014-04-05 15:48:19.651,6.079
AS14.02,2014-04-05 15:50:44.384,3.126
AS14.02,2014-04-05 15:50:47.512,149.068
AS14.02,2014-04-05 15:57:51.586,50.408
AS14.02,2014-04-05 16:04:38.687,11.22
AS14.02,2014-04-05 16:05:11.438,3.961
AS14.02,2014-04-05 16:08:37.563,60.692
AS14.02,2014-04-05 16:13:27.023,2.441
AS14.02,2014-04-05 16:13:49.433,5.001
AS14.02,2014-04-05 16:13:55.523,13.737
AS14.02,2014-04-05 16:14:38.596,29.238
AS14.02,2014-04-10 14:56:23.858,20.673
AS14.02,2014-04-10 15:01:22.394,48.193
AS14.02,2014-04-10 15:02:23.555,8.182
AS14.02,2014-04-10 15:04:42.246,15.94
AS14.02,2014-04-10 15:10:42.183,17.022
AS14.02,2014-04-10 15:10:59.207,349.94
AS14.02,2014-04-10 15:16:59.790,10.888
AS14.02,2014-04-10 15:18:29.394,45.896
AS14.02,2014-04-10 15:19:17.490,8.379
AS14.02,2014-04-11 21:07:44.713,3.822
AS14.02,2014-04-11 21:09:11.440,2.342
AS14.02,2014-04-11 21:09:14.657,13.885
AS14.02,2014-04-11 21:09:40.960,17.053
AS14.02,2014-04-11 21:10:10.963,6.006
AS14.02,2014-04-11 21:10:45.973,2.957
AS14.02,2014-04-11 21:11:04.967,14.443
AS14.02,2014-04-11 21:17:10.940,14.872
AS14.02,2014-04-11 21:17:37.484,14.463
AS14.02,2014-04-11 21:17:54.219,10.464
AS14.02,2014-04-11 21:18:35.121,6.82
AS14.02,2014-04-11 21:19:06.661,10.057
AS14.02,2014-04-11 21:19:16.723,13.865
AS14.02,2014-04-11 21:19:46.944,10.383
AS14.02,2014-04-11 21:19:59.053,10.255
AS14.02,2014-04-11 21:20:10.420,10.337
AS14.02,2014-04-11 21:20:32.184,9.484
AS14.02,2014-04-11 21:22:24.834,5.176
AS14.02,2014-04-11 21:28:37.348,4.009
AS14.02,2014-04-11 22:00:18.342,59.702
AS14.02,2014-04-11 22:06:15.138,39.656
AS14.02,2014-04-11 22:06:59.506,2.528
AS14.02,2014-04-11 22:12:50.438,3.496
AS14.02,2014-04-11 22:15:47.367,7.166
AS14.02,2014-04-11 22:28:35.834,38.347
AS14.02,2014-04-11 22:36:13.864,2.075
AS14.02,2014-04-11 22:48:42.301,17.906
AS14.02,2014-04-11 22:54:47.155,31.362
AS14.02,2014-04-11 22:59:58.023,15.774
AS14.02,2014-04-11 23:01:18.519,19.953
AS14.02,2014-04-11 23:01:55.782,21.755
AS14.02,2014-04-11 23:03:54.801,30.482
AS14.02,2014-04-11 23:04:27.589,30.622
AS14.02,2014-04-11 23:05:08.154,29.837
AS14.02,2014-04-11 23:05:58.293,30.469
AS14.02,2014-04-11 23:06:31.407,18.143
AS14.02,2014-04-11 23:32:23.615,29.619
AS14.02,2014-04-11 23:45:02.434,12.427
AS14.02,2014-04-11 23:54:28.367,5.831
AS14.02,2014-04-11 23:54:35.634,3.086
AS14.02,2014-04-12 21:10:13.763,9.981
AS14.02,2014-04-12 21:10:36.174,10.28
AS14.02,2014-04-12 21:10:54.559,8.086
AS14.02,2014-04-12 21:13:26.045,29.601
AS14.02,2014-04-12 21:13:59.766,2.557
AS14.02,2014-04-12 21:20:26.026,2.009
AS14.02,2014-04-12 21:22:07.913,86.75
AS14.02,2014-04-12 21:23:36.970,1.586
AS14.02,2014-04-12 21:23:45.144,10.576
AS14.02,2014-04-12 21:24:06.901,3.467
AS14.02,2014-04-12 21:24:41.905,12.077
AS14.02,2014-04-12 21:24:53.992,39.842
AS14.02,2014-04-12 21:25:38.236,24.849
AS14.02,2014-04-12 21:32:08.852,37.956
AS14.02,2014-04-12 21:32:46.812,29.386
AS14.02,2014-04-12 21:37:25.131,30.136
AS14.02,2014-04-12 21:40:38.007,3.008
AS14.02,2014-04-12 22:15:50.858,13.879
AS14.02,2014-04-12 22:19:32.223,3.153
AS14.02,2014-04-12 22:20:17.901,3.006
AS14.02,2014-04-13 06:58:29.036,13.318
AS14.02,2014-04-13 07:02:04.368,10.178
AS14.02,2014-04-13 07:06:44.332,7.393
AS14.02,2014-04-13 19:45:29.312,17.814
AS14.02,2014-04-13 19:45:55.788,14.399
AS14.02,2014-04-13 19:47:20.766,1.005
