id,time,sms
AS14.02,2014-04-17 14:47:05.614,1.0
AS14.02,2014-04-17 22:32:38.614,1.0
AS14.02,2014-04-17 22:33:01.318,1.0
AS14.02,2014-04-20 07:24:41.852,1.0
AS14.02,2014-04-20 08:16:50.187,1.0
AS14.02,2014-04-20 19:14:14.571,1.0
AS14.02,2014-04-22 11:09:37.611,1.0
AS14.02,2014-04-22 16:13:17.519,1.0
AS14.02,2014-04-23 13:30:29.357,1.0
AS14.03,2014-02-17 16:28:23.000,1.0
AS14.03,2014-02-19 16:00:17.000,1.0
AS14.03,2014-02-21 11:24:46.443,1.0
AS14.03,2014-02-21 19:10:05.000,1.0
AS14.03,2014-02-22 16:50:25.000,1.0
AS14.03,2014-02-22 16:51:34.000,1.0
AS14.03,2014-02-22 16:51:41.000,1.0
AS14.03,2014-02-22 17:15:37.437,1.0
AS14.03,2014-02-22 20:38:17.000,1.0
AS14.03,2014-02-26 14:27:24.006,1.0
AS14.03,2014-02-27 19:47:33.664,1.0
AS14.03,2014-03-01 05:41:31.000,1.0
AS14.03,2014-03-01 10:33:45.690,1.0
AS14.03,2014-03-01 10:36:59.000,1.0
AS14.03,2014-03-03 16:14:52.197,1.0
AS14.03,2014-03-05 10:02:24.000,1.0
AS14.03,2014-03-08 13:52:28.000,1.0
AS14.03,2014-03-08 13:58:37.967,1.0
AS14.03,2014-03-08 13:59:25.000,1.0
AS14.03,2014-03-09 15:38:44.065,1.0
AS14.03,2014-03-09 15:40:34.000,1.0
AS14.03,2014-03-09 15:40:49.000,1.0
AS14.03,2014-03-14 15:37:54.000,1.0
AS14.03,2014-03-15 17:59:17.000,1.0
AS14.03,2014-03-17 17:08:11.211,1.0
AS14.03,2014-03-17 17:20:12.000,1.0
AS14.03,2014-03-18 12:44:26.000,1.0
AS14.03,2014-03-19 19:14:38.344,1.0
AS14.03,2014-03-19 20:45:05.857,1.0
AS14.03,2014-03-20 14:36:52.000,1.0
AS14.03,2014-03-21 08:42:41.000,1.0
AS14.03,2014-03-21 19:26:50.790,1.0
AS14.03,2014-03-22 22:24:55.746,1.0
AS14.03,2014-03-23 14:51:55.000,1.0
AS14.03,2014-03-25 13:43:05.000,1.0
AS14.03,2014-03-27 20:49:06.000,1.0
AS14.03,2014-03-29 19:47:58.000,1.0
AS14.03,2014-03-31 21:58:48.000,1.0
AS14.03,2014-04-04 07:42:03.217,1.0
AS14.03,2014-04-04 12:53:22.726,1.0
AS14.03,2014-04-04 13:43:56.000,1.0
AS14.03,2014-04-08 09:06:42.000,1.0
AS14.03,2014-04-10 07:50:26.000,1.0
AS14.03,2014-04-10 20:40:22.414,1.0
AS14.03,2014-04-13 15:12:50.000,1.0
AS14.03,2014-04-14 12:48:21.548,1.0
AS14.03,2014-04-17 07:54:33.293,1.0
AS14.03,2014-04-17 08:36:02.000,1.0
AS14.03,2014-04-19 11:26:12.000,1.0
AS14.03,2014-04-20 09:01:47.000,1.0
AS14.03,2014-04-20 10:22:03.407,1.0
AS14.03,2014-04-23 10:03:49.000,1.0
AS14.03,2014-04-26 13:21:22.000,1.0
AS14.03,2014-04-26 14:30:14.000,1.0
AS14.03,2014-04-26 15:34:54.825,1.0
AS14.03,2014-04-26 22:37:46.000,1.0
AS14.03,2014-04-26 22:43:29.165,1.0
AS14.03,2014-05-02 15:51:18.082,1.0
AS14.03,2014-05-05 16:17:50.000,1.0
AS14.05,2014-03-09 18:08:53.676,1.0
AS14.05,2014-03-17 17:20:06.726,1.0
AS14.05,2014-03-17 20:46:03.000,1.0
AS14.05,2014-03-20 11:13:24.000,1.0
AS14.05,2014-03-21 18:59:15.000,1.0
AS14.05,2014-03-21 19:11:52.618,1.0
AS14.05,2014-03-21 20:16:19.000,1.0
AS14.05,2014-03-23 09:35:37.000,1.0
AS14.05,2014-03-23 09:38:59.325,1.0
AS14.05,2014-03-23 16:23:08.355,1.0
AS14.05,2014-03-23 16:23:36.000,1.0
AS14.05,2014-03-23 16:24:33.000,1.0
AS14.05,2014-03-23 16:27:16.388,1.0
AS14.05,2014-03-23 16:27:42.000,1.0
AS14.05,2014-03-23 16:28:32.000,1.0
AS14.05,2014-03-23 16:31:01.000,1.0
AS14.05,2014-03-24 19:17:05.605,1.0
AS14.05,2014-03-25 19:43:29.299,1.0
AS14.05,2014-03-26 12:06:51.000,1.0
AS14.05,2014-03-27 09:41:09.809,1.0
AS14.05,2014-03-29 11:58:42.000,1.0
AS14.05,2014-04-12 16:07:27.236,1.0
AS14.05,2014-04-12 16:24:53.000,1.0
AS14.05,2014-04-12 16:32:01.493,1.0
AS14.05,2014-04-18 15:25:19.993,1.0
AS14.05,2014-04-22 20:05:21.000,1.0
AS14.05,2014-04-23 20:05:25.000,1.0
AS14.05,2014-04-26 18:34:42.000,1.0
AS14.05,2014-05-02 20:57:55.000,1.0
AS14.05,2014-05-02 21:00:28.000,1.0
AS14.05,2014-05-02 21:00:41.361,1.0
AS14.05,2014-05-02 21:04:06.127,1.0
AS14.05,2014-05-02 21:05:36.000,1.0
AS14.05,2014-05-02 21:08:56.378,1.0
AS14.05,2014-05-02 21:13:05.000,1.0
AS14.05,2014-05-03 18:30:24.000,1.0
AS14.05,2014-05-03 18:43:18.585,1.0
AS14.05,2014-05-03 18:48:53.000,1.0
AS14.05,2014-05-03 19:17:23.408,1.0
AS14.05,2014-05-03 19:17:55.000,1.0
AS14.06,2014-02-22 09:02:25.187,1.0
AS14.06,2014-02-22 13:15:37.000,1.0
AS14.06,2014-02-22 17:07:39.000,1.0
AS14.06,2014-02-22 22:46:53.203,1.0
AS14.06,2014-02-22 23:45:14.378,1.0
AS14.06,2014-02-23 07:31:49.000,1.0
AS14.06,2014-02-23 09:47:32.210,1.0
AS14.06,2014-02-23 13:35:21.792,1.0
AS14.06,2014-02-23 17:42:20.000,1.0
AS14.06,2014-02-23 18:12:18.778,1.0
AS14.06,2014-02-23 23:25:29.628,1.0
