id,time,appCat.social
AS14.01,2014-03-24 09:19:15.046,6.022
AS14.01,2014-03-24 09:36:45.118,69.778
AS14.01,2014-03-24 09:42:44.196,3.041
AS14.01,2014-03-24 09:43:04.417,64.475
AS14.01,2014-03-24 09:53:08.257,6.066
AS14.01,2014-03-24 09:54:07.584,48.193
AS14.01,2014-03-24 10:00:17.759,110.337
AS14.01,2014-03-24 10:31:44.240,11.409
AS14.01,2014-03-24 10:58:14.888,57.168
AS14.01,2014-03-24 11:39:32.523,44.157
AS14.01,2014-03-24 12:11:21.255,39.337
AS14.01,2014-03-24 13:12:14.507,98.007
AS14.01,2014-03-24 13:18:10.813,28.285
AS14.01,2014-03-24 13:29:52.532,21.888
AS14.01,2014-03-24 13:32:14.260,6.044
AS14.01,2014-03-24 17:08:17.611,51.376
AS14.01,2014-03-24 17:15:22.684,35.238
AS14.01,2014-03-24 17:17:45.184,10.028
AS14.01,2014-03-24 17:21:23.062,31.125
AS14.01,2014-03-24 17:21:59.220,3.487
AS14.01,2014-03-24 18:28:33.170,32.105
AS14.01,2014-03-24 18:33:08.101,69.437
AS14.01,2014-03-24 18:34:21.345,5.029
AS14.01,2014-03-24 18:57:06.161,12.032
AS14.01,2014-03-24 18:58:06.562,37.338
AS14.01,2014-03-24 19:01:46.938,3.03
AS14.01,2014-03-24 19:24:26.092,200.698
AS14.01,2014-03-24 19:29:53.023,347.294
AS14.01,2014-03-24 19:36:27.076,31.379
AS14.01,2014-03-24 19:38:24.792,1.437
AS14.01,2014-03-24 19:47:22.996,34.782
AS14.01,2014-03-24 19:50:44.286,2.006
AS14.01,2014-03-24 22:41:13.200,65.274
AS14.01,2014-03-25 07:06:30.186,41.17
AS14.01,2014-03-25 07:40:09.558,35.595
AS14.01,2014-03-25 07:40:48.265,97.411
AS14.01,2014-03-25 08:25:56.256,10.034
AS14.01,2014-03-25 08:26:08.298,28.084
AS14.01,2014-03-25 08:40:31.049,65.221
AS14.01,2014-03-25 08:42:05.806,3.059
AS14.01,2014-03-25 08:42:31.109,129.65
AS14.01,2014-03-25 08:45:17.257,26.175
AS14.01,2014-03-25 08:48:08.246,175.032
AS14.01,2014-03-25 08:53:07.055,17.195
AS14.01,2014-03-25 08:57:51.482,220.518
AS14.01,2014-03-25 09:40:51.460,108.005
AS14.01,2014-03-25 15:10:29.713,25.117
AS14.01,2014-03-25 15:11:00.878,7.04
AS14.01,2014-03-25 16:09:07.358,25.075
AS14.01,2014-03-25 16:09:34.453,290.668
AS14.01,2014-03-25 16:14:27.154,4.017
AS14.01,2014-03-25 16:23:50.523,48.701
AS14.01,2014-03-25 18:34:17.211,47.259
AS14.01,2014-03-25 20:52:06.825,40.609
AS14.01,2014-03-25 20:56:24.582,9.475
AS14.01,2014-03-25 20:56:46.351,7.021
AS14.01,2014-03-25 21:36:17.052,35.781
AS14.01,2014-03-25 21:39:15.526,133.402
AS14.01,2014-03-25 22:47:06.388,112.469
AS14.01,2014-03-25 23:44:36.996,111.387
AS14.01,2014-03-25 23:58:53.618,64.301
AS14.01,2014-03-26 00:00:44.263,38.506
AS14.01,2014-03-26 00:15:05.742,9.026
AS14.01,2014-03-26 00:23:31.461,242.697
AS14.01,2014-03-26 09:54:05.546,129.817
AS14.01,2014-03-26 09:56:17.369,198.306
AS14.01,2014-03-26 09:59:38.855,172.577
AS14.01,2014-03-26 10:02:50.532,1100.979
AS14.01,2014-03-26 10:22:01.782,308.11
AS14.01,2014-03-26 10:27:41.045,86.785
AS14.01,2014-03-26 10:31:30.161,131.638
AS14.01,2014-03-26 11:11:24.453,27.098
AS14.01,2014-03-26 11:14:58.821,11.046
AS14.01,2014-03-26 14:59:32.292,38.945
