id,time,appCat.game
AS14.23,2014-03-27 16:48:58.963,14.787
AS14.23,2014-03-27 23:49:36.957,216.44
AS14.23,2014-03-28 11:20:33.571,49.294
AS14.23,2014-03-28 17:16:00.131,48.125
AS14.23,2014-03-28 17:17:46.813,5.016
AS14.23,2014-03-28 20:35:37.506,60.4
AS14.23,2014-03-29 00:12:25.842,14.616
AS14.23,2014-03-29 00:12:41.342,31.515
AS14.23,2014-03-29 00:14:22.895,19.716
AS14.23,2014-03-29 00:14:47.904,110.754
AS14.23,2014-03-29 00:17:39.813,59.835
AS14.23,2014-03-29 00:22:11.867,19.317
AS14.23,2014-03-29 00:22:31.759,102.812
AS14.23,2014-03-29 00:24:15.273,7.043
AS14.23,2014-03-29 00:24:51.451,26.705
AS14.23,2014-03-29 00:25:32.753,5.247
AS14.23,2014-03-29 00:25:40.206,17.459
AS14.23,2014-03-29 00:25:59.243,64.159
AS14.23,2014-03-29 00:27:52.721,11.118
AS14.23,2014-03-29 00:29:21.482,146.519
AS14.23,2014-03-29 00:31:52.328,14.925
AS14.23,2014-03-29 00:32:35.766,21.758
AS14.23,2014-03-29 00:34:27.719,43.433
AS14.23,2014-03-29 00:35:11.660,26.021
AS14.23,2014-03-29 00:35:43.619,23.724
AS14.23,2014-03-29 00:36:15.747,5.267
AS14.23,2014-03-29 00:36:28.736,73.223
AS14.23,2014-03-29 00:37:42.552,26.422
AS14.23,2014-03-29 00:38:33.039,89.244
AS14.23,2014-03-29 00:40:06.003,15.023
AS14.23,2014-03-29 00:40:37.769,17.74
AS14.23,2014-03-29 00:42:04.815,60.375
AS14.23,2014-03-29 09:01:20.861,6.023
AS14.23,2014-03-29 11:34:02.621,2.465
AS14.23,2014-03-29 11:35:24.756,6.902
AS14.23,2014-03-29 11:35:46.755,193.709
AS14.23,2014-03-29 11:41:43.911,146.564
AS14.23,2014-03-29 11:44:18.795,18.062
AS14.23,2014-03-29 11:44:36.858,14.777
AS14.23,2014-03-29 11:45:45.038,21.874
AS14.23,2014-03-29 11:46:14.953,43.168
AS14.23,2014-03-29 11:47:02.207,63.996
AS14.23,2014-03-29 11:48:09.667,97.469
AS14.23,2014-03-29 11:50:21.783,6.116
AS14.23,2014-03-29 11:56:42.964,35.091
AS14.23,2014-03-29 11:57:52.645,37.411
AS14.23,2014-03-29 11:58:57.164,14.662
AS14.23,2014-03-29 11:59:39.825,130.315
AS14.23,2014-03-29 12:02:47.790,34.734
AS14.23,2014-03-29 12:05:01.795,86.663
AS14.23,2014-03-29 12:07:19.299,98.654
AS14.23,2014-03-29 12:11:24.813,5.03
AS14.23,2014-03-29 12:11:29.845,2.007
AS14.23,2014-03-29 13:12:52.898,35.479
AS14.23,2014-03-29 13:28:08.631,319.017
AS14.23,2014-03-29 13:33:53.009,86.407
AS14.23,2014-03-29 13:41:22.477,46.999
AS14.23,2014-03-29 14:25:21.769,18.702
AS14.23,2014-03-29 14:26:00.607,106.741
AS14.23,2014-03-29 14:29:53.676,27.69
AS14.23,2014-03-29 14:30:26.697,34.56
AS14.23,2014-03-29 14:32:05.766,35.602
AS14.23,2014-03-29 14:33:32.746,85.18
AS14.23,2014-03-29 14:45:32.740,54.764
AS14.23,2014-03-29 14:57:16.951,5.301
AS14.23,2014-03-29 16:40:37.520,14.559
AS14.23,2014-03-29 16:40:56.989,24.002
AS14.23,2014-03-29 16:41:27.697,29.653
AS14.23,2014-03-29 16:42:11.776,36.762
AS14.23,2014-03-29 16:44:14.773,53.402
AS14.23,2014-03-29 19:01:38.803,8.074
AS14.23,2014-03-29 19:33:07.657,128.838
AS14.23,2014-03-29 19:35:17.051,147.395
AS14.23,2014-03-29 19:39:31.117,8.032
AS14.23,2014-03-29 19:39:39.151,17.063
AS14.23,2014-03-29 20:27:04.937,8.063
AS14.23,2014-03-29 21:15:28.963,15.071
AS14.23,2014-03-30 11:20:07.808,225.174
AS14.23,2014-03-30 11:25:18.500,30.346
AS14.23,2014-03-30 11:26:57.858,24.283
AS14.23,2014-03-30 11:28:29.828,2.615
AS14.23,2014-03-30 11:29:06.803,6.029
AS14.23,2014-03-30 12:10:45.910,51.283
AS14.23,2014-03-30 12:12:26.444,14.726
AS14.23,2014-03-30 12:16:25.721,1.664
AS14.23,2014-03-30 12:27:46.713,129.482
AS14.23,2014-03-30 12:30:04.358,14.703
AS14.23,2014-03-30 12:30:39.157,35.498
AS14.23,2014-03-30 12:31:17.401,5.087
AS14.23,2014-03-30 20:23:30.542,4.017
AS14.23,2014-03-30 20:23:34.561,6.023
AS14.23,2014-03-30 22:59:09.836,109.066
AS14.23,2014-03-30 23:01:50.730,3.562
AS14.23,2014-03-31 00:03:24.661,120.759
AS14.23,2014-03-31 08:02:28.665,14.053
AS14.23,2014-03-31 08:10:39.384,28.418
AS14.23,2014-03-31 08:11:08.355,145.268
AS14.23,2014-03-31 08:13:47.755,103.985
AS14.23,2014-03-31 08:17:08.854,85.957
AS14.23,2014-03-31 19:02:30.825,56.342
AS14.23,2014-03-31 19:03:38.723,19.0
AS14.23,2014-03-31 19:16:48.842,4.526
AS14.23,2014-03-31 19:20:52.869,5.019
AS14.23,2014-03-31 22:20:43.792,88.006
AS14.23,2014-03-31 22:23:09.785,4.013
AS14.23,2014-04-01 09:18:09.923,70.959
