id,time,appCat.unknown
AS14.05,2014-03-31 16:11:24.319,20.179
AS14.05,2014-03-31 16:38:52.778,5.045
AS14.05,2014-03-31 21:25:45.142,67.01
AS14.05,2014-03-31 21:36:32.275,10.985
AS14.05,2014-03-31 21:38:50.122,0.856
AS14.05,2014-03-31 21:51:51.943,5.044
AS14.05,2014-03-31 23:28:27.223,12.083
AS14.05,2014-04-01 13:40:07.236,19.192
AS14.05,2014-04-01 17:01:35.335,1.006
AS14.05,2014-04-01 17:01:36.421,23.675
AS14.05,2014-04-01 17:02:36.062,0.593
AS14.05,2014-04-01 17:03:08.769,2.966
AS14.05,2014-04-01 17:03:56.683,5.056
AS14.05,2014-04-02 16:37:17.119,1.004
AS14.05,2014-04-02 16:37:18.144,67.683
AS14.05,2014-04-02 16:38:59.042,73.517
AS14.05,2014-04-02 16:43:13.767,13.159
AS14.05,2014-04-02 22:10:17.576,1.004
AS14.05,2014-04-02 22:10:18.592,19.257
AS14.05,2014-04-04 15:26:57.528,1.006
AS14.05,2014-04-04 15:26:58.585,82.271
AS14.05,2014-04-04 15:29:06.338,16.223
AS14.05,2014-04-04 15:41:33.473,19.146
AS14.05,2014-04-04 15:43:21.555,7.049
AS14.05,2014-04-04 15:46:58.266,7.572
AS14.05,2014-04-04 15:50:34.125,12.101
AS14.05,2014-04-04 15:53:10.276,6.04
AS14.05,2014-04-04 16:04:38.697,8.026
AS14.05,2014-04-04 16:28:23.569,1.008
AS14.05,2014-04-04 16:28:24.609,71.115
AS14.05,2014-04-04 16:34:25.234,0.41
AS14.05,2014-04-04 16:35:11.990,0.499
AS14.05,2014-04-04 16:49:33.720,8.054
AS14.05,2014-04-05 15:09:59.121,62.458
AS14.05,2014-04-05 15:13:32.476,39.069
AS14.05,2014-04-05 15:14:13.322,0.692
AS14.05,2014-04-05 15:14:57.806,10.22
AS14.05,2014-04-05 15:30:32.190,5.087
AS14.05,2014-04-07 11:27:20.214,46.251
AS14.05,2014-04-08 17:10:06.618,1.007
AS14.05,2014-04-08 17:10:07.631,6.037
AS14.05,2014-04-09 19:35:36.306,1.013
AS14.05,2014-04-09 19:35:37.325,5.708
AS14.05,2014-04-09 19:36:24.569,80.426
AS14.05,2014-04-12 12:54:20.928,1.006
AS14.05,2014-04-12 12:54:21.950,53.04
AS14.05,2014-04-12 12:56:58.221,2.027
AS14.05,2014-04-12 13:50:58.025,81.455
AS14.05,2014-04-12 14:11:56.749,1.011
AS14.05,2014-04-12 14:11:57.782,10.154
AS14.05,2014-04-14 18:13:10.380,122.554
AS14.05,2014-04-14 18:16:10.311,123.839
AS14.05,2014-04-15 09:09:42.299,1.009
AS14.05,2014-04-15 09:09:43.375,54.29
AS14.05,2014-04-15 12:07:41.210,1.004
AS14.05,2014-04-15 12:07:42.220,118.461
AS14.05,2014-04-15 12:14:30.423,9.217
AS14.05,2014-04-15 15:21:38.848,1.003
AS14.05,2014-04-15 15:21:39.855,18.091
AS14.05,2014-04-15 15:28:29.328,7.326
AS14.05,2014-04-15 15:32:27.818,4.07
AS14.05,2014-04-15 15:34:11.924,5.065
AS14.05,2014-04-17 09:37:56.667,1.011
AS14.05,2014-04-17 09:37:57.709,13.89
AS14.05,2014-04-17 10:09:32.128,5.057
AS14.05,2014-04-17 21:22:42.019,20.095
