id,time,call
AS14.01,2014-04-10 16:20:06.484,1.0
AS14.01,2014-04-10 16:21:42.703,1.0
AS14.01,2014-04-10 16:52:32.338,1.0
AS14.01,2014-04-10 16:58:17.483,1.0
AS14.01,2014-04-14 16:22:15.921,1.0
AS14.01,2014-04-15 14:35:17.562,1.0
AS14.01,2014-04-15 14:37:40.506,1.0
AS14.01,2014-04-15 14:38:18.868,1.0
AS14.01,2014-04-15 14:38:43.240,1.0
AS14.01,2014-04-15 14:39:21.203,1.0
AS14.01,2014-04-15 14:39:56.812,1.0
AS14.01,2014-04-15 14:40:44.505,1.0
AS14.01,2014-04-15 14:41:50.796,1.0
AS14.01,2014-04-17 16:38:24.983,1.0
AS14.01,2014-04-17 16:40:03.256,1.0
AS14.01,2014-04-18 14:57:45.661,1.0
AS14.01,2014-04-19 14:55:23.625,1.0
AS14.01,2014-04-20 01:36:00.944,1.0
AS14.01,2014-04-20 01:39:33.713,1.0
AS14.01,2014-04-21 12:37:30.697,1.0
AS14.01,2014-04-21 21:23:46.467,1.0
AS14.01,2014-04-22 17:22:42.233,1.0
AS14.01,2014-04-22 20:31:53.503,1.0
AS14.01,2014-04-23 22:23:02.530,1.0
AS14.01,2014-04-24 18:20:15.448,1.0
AS14.01,2014-04-25 13:14:23.523,1.0
AS14.01,2014-04-25 21:57:12.233,1.0
AS14.01,2014-04-26 18:59:55.334,1.0
AS14.01,2014-04-26 19:12:20.546,1.0
AS14.01,2014-04-26 19:16:10.374,1.0
AS14.01,2014-04-28 15:25:45.065,1.0
AS14.01,2014-04-28 15:40:42.808,1.0
AS14.01,2014-04-30 14:33:33.786,1.0
AS14.01,2014-05-01 12:15:52.101,1.0
AS14.01,2014-05-01 12:41:23.569,1.0
AS14.01,2014-05-01 12:48:31.651,1.0
AS14.01,2014-05-01 19:53:03.052,1.0
AS14.01,2014-05-01 19:53:45.220,1.0
AS14.01,2014-05-01 19:54:21.283,1.0
AS14.01,2014-05-01 23:39:08.048,1.0
AS14.02,2014-02-17 07:00:52.197,1.0
AS14.02,2014-02-17 16:48:11.351,1.0
AS14.02,2014-02-17 21:15:10.592,1.0
AS14.02,2014-02-17 22:38:31.355,1.0
AS14.02,2014-02-18 12:46:54.040,1.0
AS14.02,2014-02-18 22:42:05.099,1.0
AS14.02,2014-02-18 22:59:04.898,1.0
AS14.02,2014-02-19 16:10:21.086,1.0
AS14.02,2014-02-19 16:10:47.242,1.0
AS14.02,2014-02-19 16:27:09.269,1.0
AS14.02,2014-02-19 19:00:58.470,1.0
AS14.02,2014-02-19 19:22:51.803,1.0
AS14.02,2014-02-19 19:26:30.746,1.0
AS14.02,2014-02-20 20:23:52.647,1.0
AS14.02,2014-02-20 22:50:20.247,1.0
AS14.02,2014-02-21 13:34:05.486,1.0
AS14.02,2014-02-21 18:19:58.615,1.0
AS14.02,2014-02-21 18:26:36.088,1.0
AS14.02,2014-02-21 19:07:42.063,1.0
AS14.02,2014-02-21 23:40:43.078,1.0
AS14.02,2014-02-21 23:51:17.378,1.0
AS14.02,2014-02-22 03:11:25.561,1.0
AS14.02,2014-02-22 12:07:29.638,1.0
AS14.02,2014-02-22 20:42:40.016,1.0
AS14.02,2014-02-22 20:43:33.375,1.0
AS14.02,2014-02-23 00:39:51.494,1.0
AS14.02,2014-02-23 00:45:48.279,1.0
AS14.02,2014-02-23 00:46:05.559,1.0
AS14.02,2014-02-23 00:46:40.158,1.0
AS14.02,2014-02-24 13:34:22.753,1.0
AS14.02,2014-02-24 13:39:02.779,1.0
AS14.02,2014-02-24 19:30:45.989,1.0
AS14.02,2014-02-24 20:38:15.336,1.0
AS14.02,2014-02-24 20:43:43.134,1.0
AS14.02,2014-02-24 20:47:39.532,1.0
AS14.02,2014-02-24 22:09:24.211,1.0
AS14.02,2014-02-25 15:09:44.667,1.0
AS14.02,2014-02-25 15:11:26.122,1.0
AS14.02,2014-02-25 15:14:06.046,1.0
AS14.02,2014-02-25 15:34:21.053,1.0
AS14.02,2014-02-25 15:36:23.118,1.0
AS14.02,2014-02-25 15:47:21.983,1.0
AS14.02,2014-02-25 17:44:55.828,1.0
AS14.02,2014-02-25 23:22:02.101,1.0
AS14.02,2014-02-25 23:51:52.987,1.0
AS14.02,2014-02-26 12:16:52.329,1.0
AS14.02,2014-02-26 16:23:55.671,1.0
AS14.02,2014-02-26 22:28:42.395,1.0
AS14.02,2014-02-27 13:47:43.180,1.0
AS14.02,2014-02-27 14:34:13.190,1.0
AS14.02,2014-02-27 14:34:43.223,1.0
AS14.02,2014-02-27 14:36:59.448,1.0
AS14.02,2014-02-27 16:25:09.280,1.0
AS14.02,2014-02-27 16:25:33.681,1.0
AS14.02,2014-02-27 16:25:45.509,1.0
AS14.02,2014-02-27 18:21:16.069,1.0
AS14.02,2014-02-27 22:49:39.502,1.0
AS14.02,2014-02-28 10:37:15.818,1.0
AS14.02,2014-02-28 12:54:18.582,1.0
AS14.02,2014-02-28 16:31:05.648,1.0
AS14.02,2014-02-28 17:04:45.545,1.0
AS14.02,2014-02-28 18:57:45.071,1.0
AS14.02,2014-02-28 19:12:32.645,1.0
AS14.02,2014-02-28 20:42:52.581,1.0
AS14.02,2014-02-28 20:48:33.509,1.0
AS14.02,2014-02-28 20:49:13.868,1.0
AS14.02,2014-03-01 11:35:58.513,1.0
AS14.02,2014-03-01 11:50:16.095,1.0
AS14.02,2014-03-01 12:04:22.579,1.0
AS14.02,2014-03-02 23:26:57.365,1.0
AS14.02,2014-03-03 10:12:57.075,1.0
AS14.02,2014-03-03 17:45:52.624,1.0
AS14.02,2014-03-03 17:46:21.437,1.0
AS14.02,2014-03-03 20:59:12.887,1.0
AS14.02,2014-03-04 11:06:14.763,1.0
AS14.02,2014-03-04 11:06:51.144,1.0
AS14.02,2014-03-04 11:09:32.315,1.0
AS14.02,2014-03-04 11:29:12.364,1.0
AS14.02,2014-03-04 20:28:11.717,1.0
AS14.02,2014-03-04 20:34:00.811,1.0
AS14.02,2014-03-04 21:06:35.857,1.0
AS14.02,2014-03-04 21:09:09.371,1.0
AS14.02,2014-03-04 23:01:29.096,1.0
AS14.02,2014-03-05 16:31:00.275,1.0
AS14.02,2014-03-05 18:58:00.450,1.0
AS14.02,2014-03-05 23:10:24.697,1.0
AS14.02,2014-03-06 15:46:09.410,1.0
AS14.02,2014-03-06 15:46:45.661,1.0
AS14.02,2014-03-06 15:46:56.926,1.0
AS14.02,2014-03-06 15:47:22.471,1.0
AS14.02,2014-03-06 15:47:56.742,1.0
AS14.02,2014-03-06 15:56:14.282,1.0
AS14.02,2014-03-06 17:58:14.394,1.0
AS14.02,2014-03-06 18:11:40.293,1.0
AS14.02,2014-03-06 20:22:46.753,1.0
AS14.02,2014-03-06 21:33:26.387,1.0
AS14.02,2014-03-06 21:34:03.838,1.0
AS14.02,2014-03-06 21:59:30.698,1.0
AS14.02,2014-03-07 00:30:11.602,1.0
AS14.02,2014-03-07 16:41:27.118,1.0
AS14.02,2014-03-07 17:53:53.052,1.0
AS14.02,2014-03-07 19:26:08.454,1.0
AS14.02,2014-03-07 19:37:24.996,1.0
AS14.02,2014-03-08 01:15:57.802,1.0
AS14.02,2014-03-08 01:23:15.236,1.0
AS14.02,2014-03-08 10:19:40.923,1.0
AS14.02,2014-03-08 10:20:01.217,1.0
AS14.02,2014-03-08 10:28:06.778,1.0
AS14.02,2014-03-08 10:29:01.453,1.0
AS14.02,2014-03-08 12:53:22.921,1.0
AS14.02,2014-03-08 12:54:48.246,1.0
AS14.02,2014-03-08 12:55:40.236,1.0
AS14.02,2014-03-08 12:56:21.572,1.0
AS14.02,2014-03-08 16:23:03.727,1.0
AS14.02,2014-03-09 08:49:05.763,1.0
AS14.02,2014-03-09 08:50:57.177,1.0
AS14.02,2014-03-09 12:57:46.053,1.0
AS14.02,2014-03-09 16:14:39.217,1.0
AS14.02,2014-03-10 10:10:33.608,1.0
AS14.02,2014-03-10 10:14:52.854,1.0
AS14.02,2014-03-10 10:15:11.559,1.0
AS14.02,2014-03-10 10:15:33.246,1.0
AS14.02,2014-03-10 10:15:33.413,1.0
AS14.02,2014-03-10 18:56:54.072,1.0
AS14.02,2014-03-10 20:27:56.368,1.0
AS14.02,2014-03-10 20:43:00.971,1.0
AS14.02,2014-03-10 23:35:10.118,1.0
AS14.02,2014-03-10 23:43:11.279,1.0
AS14.02,2014-03-10 23:43:33.954,1.0
AS14.02,2014-03-11 17:01:59.286,1.0
AS14.02,2014-03-11 17:38:54.059,1.0
AS14.02,2014-03-11 17:39:34.279,1.0
AS14.02,2014-03-11 18:53:27.476,1.0
AS14.02,2014-03-11 21:30:12.743,1.0
AS14.02,2014-03-11 23:39:48.250,1.0
AS14.02,2014-03-12 18:50:16.312,1.0
AS14.02,2014-03-12 18:52:21.733,1.0
AS14.02,2014-03-12 19:20:41.969,1.0
AS14.02,2014-03-12 19:26:52.990,1.0
AS14.02,2014-03-12 19:37:31.362,1.0
AS14.02,2014-03-12 20:00:59.875,1.0
AS14.02,2014-03-12 23:05:17.114,1.0
AS14.02,2014-03-13 13:52:00.997,1.0
AS14.02,2014-03-13 13:58:10.637,1.0
AS14.02,2014-03-13 23:18:56.855,1.0
AS14.02,2014-03-14 09:04:19.025,1.0
AS14.02,2014-03-14 09:04:39.338,1.0
AS14.02,2014-03-14 09:04:54.230,1.0
AS14.02,2014-03-14 09:05:05.671,1.0
AS14.02,2014-03-14 09:07:46.536,1.0
AS14.02,2014-03-14 12:15:50.996,1.0
AS14.02,2014-03-15 10:17:46.171,1.0
AS14.02,2014-03-15 10:21:28.075,1.0
AS14.02,2014-03-15 15:24:54.467,1.0
AS14.02,2014-03-15 16:54:41.157,1.0
AS14.02,2014-03-15 20:16:31.055,1.0
AS14.02,2014-03-15 23:10:54.838,1.0
AS14.02,2014-03-15 23:14:33.137,1.0
AS14.02,2014-03-16 00:49:05.387,1.0
AS14.02,2014-03-16 09:29:09.950,1.0
AS14.02,2014-03-16 23:13:52.862,1.0
AS14.02,2014-03-16 23:26:03.145,1.0
