id,time,appCat.office
AS14.03,2014-04-25 10:24:51.403,23.225
AS14.03,2014-04-29 18:18:20.180,6.506
AS14.03,2014-05-01 17:00:17.096,29.208
AS14.03,2014-05-01 17:05:48.022,4.768
AS14.03,2014-05-01 17:13:53.388,0.951
AS14.03,2014-05-01 17:17:00.769,26.239
AS14.03,2014-05-06 20:23:30.022,1.324
AS14.03,2014-05-06 21:10:17.943,13.578
AS14.03,2014-05-07 19:38:55.516,3.127
AS14.03,2014-05-07 19:39:52.322,1.351
AS14.03,2014-05-07 19:40:21.694,3.157
AS14.03,2014-05-07 20:03:10.697,0.644
AS14.03,2014-05-07 20:03:27.799,1.615
AS14.03,2014-05-07 20:03:57.503,4.011
AS14.05,2014-04-11 20:27:09.637,21.127
AS14.06,2014-03-25 21:03:28.489,146.241
AS14.06,2014-03-25 21:06:21.559,15.128
AS14.06,2014-03-25 21:06:54.250,35.719
AS14.06,2014-03-25 21:54:35.058,12.151
AS14.06,2014-03-25 21:54:48.213,3.011
AS14.06,2014-03-25 22:16:44.809,4.04
AS14.06,2014-03-25 22:22:03.463,6.059
AS14.06,2014-03-25 22:22:52.799,16.144
AS14.06,2014-03-25 22:26:44.522,3.011
AS14.06,2014-03-25 22:40:47.296,14.265
AS14.06,2014-03-25 22:42:39.730,18.153
AS14.06,2014-03-25 22:45:23.438,3.016
AS14.06,2014-03-26 16:44:00.938,35.692
AS14.06,2014-03-28 14:17:50.016,29.983
AS14.06,2014-03-28 14:42:45.657,12.28
AS14.06,2014-03-31 17:00:25.976,27.522
AS14.06,2014-04-02 09:10:01.020,50.966
AS14.06,2014-04-02 11:34:49.687,70.278
AS14.06,2014-04-02 15:07:55.367,45.756
AS14.06,2014-04-08 12:41:00.141,94.743
AS14.06,2014-04-08 12:48:56.286,77.071
AS14.06,2014-04-08 12:51:39.390,1.003
AS14.06,2014-04-09 11:40:49.953,473.817
AS14.06,2014-04-11 10:59:05.331,90.136
AS14.06,2014-04-14 20:26:45.762,29.434
AS14.06,2014-04-15 17:15:45.312,71.646
AS14.06,2014-04-16 11:03:23.085,18.5
AS14.06,2014-04-17 09:48:46.957,30.484
AS14.06,2014-04-17 12:33:49.321,13.613
AS14.06,2014-04-17 12:47:37.499,24.536
AS14.06,2014-04-17 12:48:05.164,1.003
AS14.06,2014-04-17 12:49:49.305,22.054
AS14.06,2014-04-17 15:10:32.618,36.604
AS14.06,2014-04-17 15:11:38.733,45.601
AS14.06,2014-04-17 15:19:05.101,19.045
AS14.06,2014-04-17 15:30:36.532,27.96
AS14.06,2014-04-17 15:31:48.611,75.087
AS14.06,2014-04-17 19:41:13.933,2.005
AS14.06,2014-04-18 18:17:28.772,10.072
AS14.06,2014-04-22 08:49:03.499,19.13
AS14.06,2014-04-22 12:18:21.553,9.657
AS14.06,2014-04-22 12:18:41.996,15.179
AS14.06,2014-04-23 10:33:59.243,37.754
AS14.06,2014-04-23 22:14:18.707,59.031
AS14.06,2014-04-23 23:16:29.155,6.09
AS14.06,2014-04-24 21:26:07.022,4.016
AS14.06,2014-04-25 20:59:17.486,52.646
AS14.06,2014-04-25 21:21:38.203,7.033
AS14.06,2014-04-26 05:28:48.272,15.297
AS14.06,2014-04-26 07:00:32.957,32.927
AS14.06,2014-04-26 07:03:04.967,11.99
AS14.06,2014-04-26 07:09:38.588,11.956
AS14.06,2014-04-26 07:12:59.861,12.052
AS14.06,2014-04-26 07:18:31.512,2.004
AS14.06,2014-04-26 07:21:10.963,43.104
AS14.06,2014-04-26 07:22:00.598,7.024
AS14.06,2014-04-28 13:49:41.986,21.327
AS14.06,2014-04-28 16:50:32.913,10.156
AS14.06,2014-04-29 22:01:02.358,0.044
AS14.06,2014-04-30 00:18:32.529,48.941
AS14.06,2014-04-30 11:50:04.615,9.123
AS14.06,2014-04-30 16:34:40.461,34.103
AS14.06,2014-05-01 13:56:16.382,11.035
AS14.06,2014-05-03 01:12:10.267,123.711
AS14.06,2014-05-06 10:39:56.375,15.195
AS14.06,2014-05-06 11:02:47.066,13.12
AS14.06,2014-05-06 11:03:56.336,2.047
AS14.06,2014-05-06 11:04:02.413,2.006
AS14.06,2014-05-06 12:31:29.987,8.167
AS14.06,2014-05-06 12:41:05.367,2.009
AS14.06,2014-05-06 18:58:16.470,60.032
AS14.06,2014-05-06 19:01:39.914,6.207
AS14.06,2014-05-07 00:03:07.457,173.963
AS14.06,2014-05-07 00:06:37.880,13.331
AS14.08,2014-03-15 09:16:30.627,17.086
AS14.08,2014-03-26 17:05:54.072,161.499
AS14.08,2014-04-14 11:55:54.345,45.241
AS14.08,2014-04-16 13:20:54.677,48.299
AS14.08,2014-04-21 13:59:45.234,5.032
AS14.08,2014-04-25 22:46:35.013,163.344
AS14.09,2014-03-21 21:57:50.891,2.113
AS14.09,2014-03-22 12:18:55.167,5.042
AS14.09,2014-03-22 21:45:30.552,6.197
AS14.09,2014-03-22 21:45:36.825,2.07
AS14.09,2014-03-24 19:38:30.848,2.045
AS14.09,2014-03-24 19:38:41.032,2.046
AS14.09,2014-03-25 11:25:32.821,8.139
AS14.09,2014-03-25 15:39:57.362,2.117
AS14.09,2014-03-26 12:47:33.496,1.004
AS14.09,2014-03-28 00:48:32.599,3.023
AS14.09,2014-03-28 11:10:35.788,2.07
AS14.09,2014-03-28 11:10:50.990,1.003
AS14.09,2014-03-31 00:59:28.088,4.1
AS14.09,2014-04-03 21:09:36.894,3.03
AS14.09,2014-04-03 21:10:20.921,1.01
AS14.09,2014-04-05 23:21:27.571,1.012
AS14.09,2014-04-06 23:14:40.315,4.025
AS14.09,2014-04-07 15:13:15.983,3.043
AS14.09,2014-04-08 14:39:55.424,1.032
AS14.09,2014-04-14 11:32:33.707,3.017
AS14.09,2014-04-14 18:04:57.095,2.012
AS14.09,2014-04-18 11:35:09.944,2.06
AS14.09,2014-04-18 15:51:55.095,70.292
AS14.09,2014-04-19 23:21:34.982,4.028
AS14.12,2014-03-31 02:21:25.178,17.189
AS14.12,2014-04-02 17:29:38.298,47.179
AS14.12,2014-04-02 17:39:50.770,96.289
AS14.12,2014-04-02 17:41:33.637,60.207
AS14.12,2014-04-02 18:19:54.543,25.157
AS14.12,2014-04-02 18:22:33.299,48.174
AS14.12,2014-04-02 23:05:21.345,37.301
AS14.12,2014-04-02 23:07:16.463,45.985
AS14.12,2014-04-02 23:08:49.170,12.117
AS14.12,2014-04-02 23:28:32.624,25.093
AS14.12,2014-04-03 14:16:44.707,235.552
AS14.12,2014-04-03 14:22:21.936,4.012
AS14.12,2014-04-03 14:22:49.217,190.791
AS14.12,2014-04-03 14:26:31.641,53.486
AS14.12,2014-04-03 14:28:39.230,5.016
AS14.12,2014-04-03 14:42:50.500,359.17
AS14.12,2014-04-04 14:40:04.221,76.545
AS14.12,2014-04-04 14:41:22.250,169.972
AS14.12,2014-04-04 14:45:05.496,40.126
AS14.12,2014-04-04 14:46:47.503,27.494
AS14.12,2014-04-04 14:48:27.484,66.026
AS14.12,2014-04-04 14:49:59.045,61.686
AS14.12,2014-04-04 14:52:12.085,21.932
AS14.12,2014-04-04 14:55:38.960,30.302
AS14.12,2014-04-04 14:57:08.391,2.974
AS14.12,2014-04-04 15:00:09.311,10.556
AS14.12,2014-04-04 15:01:37.684,13.488
AS14.12,2014-04-04 15:02:27.125,4.036
AS14.12,2014-04-07 08:46:18.331,5.036
AS14.12,2014-04-08 15:50:57.690,82.552
AS14.12,2014-04-08 16:13:39.108,11.318
AS14.12,2014-04-08 16:22:35.368,5.012
AS14.12,2014-04-09 17:21:36.622,37.25
AS14.12,2014-04-09 18:04:10.977,78.372
AS14.12,2014-04-09 18:17:13.736,27.127
AS14.12,2014-04-09 22:19:05.275,37.198
AS14.12,2014-04-12 20:55:58.171,11.059
AS14.12,2014-04-13 15:05:34.062,45.218
AS14.12,2014-04-15 15:36:20.436,120.743
AS14.12,2014-04-15 15:38:22.187,27.231
AS14.12,2014-04-15 15:40:38.450,16.456
AS14.12,2014-04-15 16:11:33.142,9.136
AS14.12,2014-04-17 10:53:48.927,107.91
AS14.12,2014-04-17 11:15:16.255,11.098
AS14.12,2014-04-17 15:32:34.825,2.069
AS14.12,2014-04-17 22:24:52.730,4.014
AS14.12,2014-04-20 15:55:05.792,67.375
AS14.12,2014-04-20 15:56:31.431,13.071
AS14.12,2014-04-20 16:59:58.252,2.024
AS14.12,2014-04-23 20:46:28.651,44.187
AS14.12,2014-04-24 13:40:15.086,27.127
AS14.12,2014-04-24 13:41:28.894,40.241
AS14.12,2014-04-24 13:57:53.723,12.042
AS14.12,2014-04-24 13:59:58.759,13.522
AS14.12,2014-04-24 14:02:51.232,15.758
AS14.12,2014-04-24 14:05:47.316,18.047
AS14.12,2014-04-24 14:10:16.980,4.256
AS14.12,2014-04-24 14:19:14.286,33.145
AS14.12,2014-04-27 21:02:58.474,15.093
AS14.12,2014-04-29 18:57:25.085,100.885
AS14.12,2014-04-29 18:59:45.036,47.324
AS14.12,2014-04-29 19:22:18.536,23.221
AS14.12,2014-04-30 17:58:06.319,36.22
AS14.12,2014-05-01 23:26:49.989,7.041
AS14.12,2014-05-01 23:27:00.157,19.076
AS14.12,2014-05-01 23:27:19.240,3.009
AS14.12,2014-05-01 23:27:22.250,12.157
AS14.12,2014-05-01 23:27:53.480,30.124
AS14.12,2014-05-02 11:14:29.276,16.048
AS14.12,2014-05-02 11:14:47.346,9.129
AS14.12,2014-05-02 11:14:56.516,5.016
AS14.12,2014-05-02 11:15:01.536,7.169
AS14.12,2014-05-03 10:55:27.207,35.154
AS14.12,2014-05-03 10:57:03.861,35.195
AS14.13,2014-03-28 10:59:46.891,27.227
AS14.13,2014-03-28 11:00:17.193,4.053
AS14.13,2014-03-28 11:00:23.263,2.088
AS14.13,2014-04-10 18:22:43.809,15.069
