id,time,appCat.other
AS14.01,2014-04-03 10:23:12.480,9.672
AS14.01,2014-04-03 10:26:00.108,9.887
AS14.01,2014-04-03 10:26:11.401,5.347
AS14.01,2014-04-03 10:31:16.815,9.687
AS14.01,2014-04-03 10:32:00.785,2.004
AS14.01,2014-04-03 11:08:15.562,7.053
AS14.01,2014-04-03 12:00:20.066,8.209
AS14.01,2014-04-03 14:33:35.266,14.054
AS14.01,2014-04-03 14:49:54.427,30.082
AS14.01,2014-04-03 15:00:32.953,8.021
AS14.01,2014-04-03 18:05:24.410,7.094
AS14.01,2014-04-03 21:20:22.887,10.107
AS14.01,2014-04-04 10:05:36.135,7.211
AS14.01,2014-04-04 11:24:05.288,5.031
AS14.01,2014-04-04 13:18:35.986,8.024
AS14.01,2014-04-04 15:16:43.707,14.199
AS14.01,2014-04-04 16:28:12.155,51.582
AS14.01,2014-04-04 16:29:11.698,66.465
AS14.01,2014-04-04 18:25:05.395,10.168
AS14.01,2014-04-04 21:05:37.094,14.121
AS14.01,2014-04-05 10:34:50.098,6.112
AS14.01,2014-04-05 10:37:00.446,29.349
AS14.01,2014-04-05 12:03:34.135,4.16
AS14.01,2014-04-05 12:23:10.489,17.064
AS14.01,2014-04-05 14:57:36.802,8.382
AS14.01,2014-04-05 18:14:58.480,8.036
AS14.01,2014-04-05 21:09:02.506,8.03
AS14.01,2014-04-06 13:34:26.187,10.099
AS14.01,2014-04-06 13:34:38.315,53.484
AS14.01,2014-04-06 16:32:38.132,10.188
AS14.01,2014-04-06 18:52:54.138,10.03
AS14.01,2014-04-06 18:53:57.105,28.137
AS14.01,2014-04-06 21:57:26.473,7.182
AS14.01,2014-04-07 10:50:06.046,17.211
AS14.01,2014-04-07 12:34:26.028,16.123
AS14.01,2014-04-07 12:39:34.497,9.024
AS14.01,2014-04-07 12:52:50.226,57.052
AS14.01,2014-04-07 15:06:28.723,8.164
AS14.01,2014-04-07 18:32:43.864,11.095
AS14.01,2014-04-07 21:22:02.013,11.436
AS14.01,2014-04-07 22:49:14.098,40.243
AS14.01,2014-04-08 01:52:09.375,159.102
AS14.01,2014-04-08 09:25:26.539,8.176
AS14.01,2014-04-08 11:05:57.473,4.022
AS14.01,2014-04-08 12:46:38.198,8.07
AS14.01,2014-04-08 14:59:02.654,6.033
AS14.01,2014-04-08 18:57:49.588,13.053
AS14.01,2014-04-08 20:56:39.496,11.058
AS14.01,2014-04-09 09:14:05.296,10.03
AS14.01,2014-04-09 11:20:15.230,261.699
AS14.01,2014-04-09 11:26:17.190,4.016
AS14.01,2014-04-09 12:42:40.130,7.137
AS14.01,2014-04-09 15:30:23.348,6.027
AS14.01,2014-04-09 18:29:08.615,7.029
AS14.01,2014-04-09 19:39:35.756,42.699
AS14.01,2014-04-09 21:15:09.470,8.017
AS14.01,2014-04-10 11:16:58.157,10.2
AS14.01,2014-04-10 11:19:15.829,41.029
AS14.01,2014-04-10 11:20:20.075,27.312
AS14.01,2014-04-10 12:12:23.236,8.025
AS14.01,2014-04-10 15:53:20.378,6.114
AS14.01,2014-04-10 19:02:28.193,6.019
AS14.01,2014-04-10 23:52:30.184,2.203
AS14.01,2014-04-10 23:53:26.903,7.017
AS14.01,2014-04-11 09:17:37.811,8.097
AS14.01,2014-04-11 12:06:07.061,8.088
AS14.01,2014-04-11 15:45:00.256,16.07
AS14.01,2014-04-11 18:18:13.338,8.041
AS14.01,2014-04-11 18:18:43.469,2.087
AS14.01,2014-04-11 22:25:36.111,9.069
AS14.01,2014-04-12 09:41:08.081,8.037
AS14.01,2014-04-12 12:14:05.641,11.032
AS14.01,2014-04-12 12:14:21.710,18.547
AS14.01,2014-04-12 12:15:06.910,6.021
AS14.01,2014-04-12 16:05:54.243,6.23
AS14.01,2014-04-12 21:47:30.503,7.016
AS14.01,2014-04-12 23:39:59.615,22.15
AS14.01,2014-04-13 00:14:39.578,8.607
AS14.01,2014-04-13 02:19:30.267,19.088
AS14.01,2014-04-13 10:15:35.273,3.557
AS14.01,2014-04-13 10:17:19.068,17.071
AS14.01,2014-04-13 10:18:22.055,7.202
AS14.01,2014-04-13 10:18:29.298,10.176
AS14.01,2014-04-13 10:18:39.500,3.108
AS14.01,2014-04-13 12:58:59.647,7.136
AS14.01,2014-04-13 12:59:11.799,3.014
AS14.01,2014-04-13 16:16:46.976,8.23
AS14.01,2014-04-13 22:20:46.503,7.02
AS14.01,2014-04-14 09:14:41.752,11.04
