id,time,appCat.communication
AS14.01,2014-03-21 15:48:33.157,11.787
AS14.01,2014-03-21 16:04:36.757,78.596
AS14.01,2014-03-21 16:14:04.392,18.704
AS14.01,2014-03-21 16:14:34.147,40.064
AS14.01,2014-03-21 16:15:44.627,27.248
AS14.01,2014-03-21 16:23:53.427,38.477
AS14.01,2014-03-21 16:25:47.151,24.48
AS14.01,2014-03-21 16:26:38.098,20.076
AS14.01,2014-03-21 16:26:59.270,25.168
AS14.01,2014-03-21 16:29:09.092,14.676
AS14.01,2014-03-21 16:30:13.437,56.819
AS14.01,2014-03-21 17:20:47.223,24.737
AS14.01,2014-03-21 17:32:05.915,29.056
AS14.01,2014-03-21 17:51:51.170,4.046
AS14.01,2014-03-21 17:51:56.260,11.064
AS14.01,2014-03-21 17:52:10.359,13.56
AS14.01,2014-03-21 17:57:26.638,3.014
AS14.01,2014-03-21 17:58:29.095,124.986
AS14.01,2014-03-21 18:00:52.328,30.261
AS14.01,2014-03-21 19:03:31.220,243.854
AS14.01,2014-03-21 19:09:24.668,124.619
AS14.01,2014-03-21 19:25:22.582,30.474
AS14.01,2014-03-21 19:38:32.207,371.52
AS14.01,2014-03-21 19:45:12.006,54.464
AS14.01,2014-03-21 19:53:22.688,365.377
AS14.01,2014-03-21 20:00:08.289,7.118
AS14.01,2014-03-21 20:04:43.404,257.814
AS14.01,2014-03-21 20:10:21.188,1.991
AS14.01,2014-03-21 20:14:21.966,6.54
AS14.01,2014-03-21 20:20:15.941,3.812
AS14.01,2014-03-21 20:25:06.272,39.5
AS14.01,2014-03-21 20:25:47.328,9.702
AS14.01,2014-03-21 20:39:32.421,5.127
AS14.01,2014-03-21 20:39:37.549,80.766
AS14.01,2014-03-21 20:42:11.040,1.246
AS14.01,2014-03-21 20:48:26.171,6.385
AS14.01,2014-03-21 20:48:40.023,1.444
AS14.01,2014-03-21 20:49:24.286,15.055
AS14.01,2014-03-21 21:31:17.627,30.229
AS14.01,2014-03-21 21:31:49.878,11.039
AS14.01,2014-03-22 08:56:39.292,69.458
AS14.01,2014-03-22 09:11:12.430,163.666
AS14.01,2014-03-22 10:58:52.293,204.131
AS14.01,2014-03-22 11:03:35.023,107.973
AS14.01,2014-03-22 11:05:24.019,14.05
AS14.01,2014-03-22 11:30:48.920,23.783
AS14.01,2014-03-22 11:34:12.592,9.804
AS14.01,2014-03-22 11:35:16.990,2.009
AS14.01,2014-03-22 11:37:09.039,220.791
AS14.01,2014-03-22 11:41:19.178,24.557
AS14.01,2014-03-22 11:42:21.612,64.235
AS14.01,2014-03-22 11:43:38.470,17.03
AS14.01,2014-03-22 11:44:35.770,17.038
AS14.01,2014-03-22 11:53:16.295,11.36
AS14.01,2014-03-22 11:58:14.908,6.013
AS14.01,2014-03-22 12:00:58.835,2.17
AS14.01,2014-03-22 12:01:11.128,75.81
AS14.01,2014-03-22 12:27:01.599,10.598
AS14.01,2014-03-22 12:27:13.974,202.242
AS14.01,2014-03-22 12:34:55.094,30.852
AS14.01,2014-03-22 12:35:46.147,2.732
AS14.01,2014-03-22 12:35:55.697,148.989
AS14.01,2014-03-22 12:38:50.040,11.084
AS14.01,2014-03-22 12:41:35.069,6.097
AS14.01,2014-03-22 12:43:07.506,147.046
AS14.01,2014-03-22 12:46:13.750,20.766
AS14.01,2014-03-22 13:01:05.515,17.69
AS14.01,2014-03-22 13:07:55.983,31.244
AS14.01,2014-03-22 13:08:30.295,54.952
AS14.01,2014-03-22 13:11:54.997,63.198
AS14.01,2014-03-22 13:13:42.022,8.477
AS14.01,2014-03-22 13:48:39.667,68.725
AS14.01,2014-03-22 13:51:02.178,41.675
AS14.01,2014-03-22 13:53:11.038,91.522
AS14.01,2014-03-22 13:55:08.680,19.194
AS14.01,2014-03-22 13:56:00.009,204.912
AS14.01,2014-03-22 14:03:42.875,6.026
AS14.01,2014-03-22 14:57:50.869,20.107
AS14.01,2014-03-22 15:07:51.168,152.395
AS14.01,2014-03-22 15:10:27.000,15.645
AS14.01,2014-03-22 15:11:36.496,18.069
AS14.01,2014-03-22 15:12:11.010,82.912
AS14.01,2014-03-22 15:18:03.249,54.369
AS14.01,2014-03-22 15:19:05.694,17.543
AS14.01,2014-03-22 15:33:53.566,13.462
AS14.01,2014-03-22 16:38:03.290,6.868
AS14.01,2014-03-22 17:01:08.259,61.899
AS14.01,2014-03-22 17:02:35.913,20.15
AS14.01,2014-03-22 17:15:10.505,11.443
AS14.01,2014-03-22 17:15:25.964,35.062
AS14.01,2014-03-22 17:18:25.990,3.732
AS14.01,2014-03-22 17:28:55.355,21.371
AS14.01,2014-03-22 17:29:20.607,6.654
AS14.01,2014-03-22 17:30:13.473,8.019
AS14.01,2014-03-22 17:43:16.368,46.151
AS14.01,2014-03-22 17:59:12.407,44.271
AS14.01,2014-03-22 18:00:41.096,2.034
AS14.01,2014-03-22 18:00:57.230,2.057
AS14.01,2014-03-22 18:53:17.865,16.233
AS14.01,2014-03-22 19:22:35.688,339.064
AS14.01,2014-03-22 19:37:57.753,34.545
AS14.01,2014-03-22 19:40:52.496,54.478
AS14.01,2014-03-22 19:44:04.651,24.342
