id,time,appCat.weather
AS14.26,2014-05-11 05:46:00.711,6.179
AS14.26,2014-05-11 20:15:20.822,8.063
AS14.26,2014-05-21 17:04:56.280,8.031
AS14.26,2014-05-22 17:06:33.092,8.066
AS14.26,2014-05-26 11:27:47.625,10.173
AS14.26,2014-05-26 13:00:28.999,12.135
AS14.26,2014-05-26 13:36:50.298,24.095
AS14.26,2014-05-26 15:38:11.509,30.311
AS14.26,2014-05-26 15:53:04.440,22.094
AS14.26,2014-05-27 09:07:47.698,19.313
AS14.26,2014-05-27 10:13:41.038,12.057
AS14.26,2014-05-27 10:44:42.515,13.117
AS14.26,2014-05-27 11:41:06.579,10.076
AS14.26,2014-05-27 12:06:19.809,43.373
AS14.26,2014-05-27 13:04:08.140,12.091
AS14.26,2014-05-27 13:30:50.716,11.089
AS14.26,2014-05-27 13:42:26.881,10.048
AS14.26,2014-05-28 10:15:58.073,11.06
AS14.26,2014-05-28 10:54:01.924,9.167
AS14.26,2014-05-28 12:20:29.946,16.077
AS14.26,2014-05-28 13:12:36.789,25.961
AS14.26,2014-05-28 13:41:34.650,8.089
AS14.26,2014-05-28 14:12:17.969,16.083
AS14.26,2014-05-28 14:26:00.118,25.185
AS14.26,2014-05-28 14:49:25.990,10.103
AS14.26,2014-05-28 14:59:29.765,36.22
AS14.26,2014-05-28 17:19:19.201,9.141
AS14.26,2014-05-28 20:52:09.364,11.167
AS14.26,2014-05-28 21:18:21.384,6.068
AS14.27,2014-04-06 15:21:00.687,23.446
AS14.27,2014-04-06 15:21:24.782,2.028
AS14.27,2014-04-14 07:40:22.829,29.347
AS14.27,2014-04-21 10:44:43.091,27.023
AS14.27,2014-04-21 11:38:44.961,41.63
AS14.27,2014-04-21 11:39:27.509,8.23
AS14.27,2014-04-21 12:24:14.796,20.09
AS14.27,2014-04-25 18:59:28.384,14.695
AS14.27,2014-04-25 18:59:44.418,16.066
AS14.27,2014-04-26 13:45:03.313,22.136
AS14.27,2014-04-26 15:52:06.532,20.482
AS14.27,2014-04-26 15:54:00.219,9.72
AS14.27,2014-04-26 15:54:14.049,8.033
AS14.27,2014-05-09 13:56:20.009,23.144
AS14.27,2014-05-10 09:28:21.831,26.104
AS14.27,2014-05-10 12:22:18.147,20.172
AS14.27,2014-05-10 12:48:49.270,15.664
AS14.27,2014-05-10 12:49:28.490,16.059
AS14.27,2014-05-11 11:46:10.704,14.643
AS14.27,2014-05-11 11:46:28.325,17.036
AS14.27,2014-05-11 11:46:46.426,9.066
AS14.27,2014-05-11 11:47:11.572,22.235
AS14.27,2014-05-11 11:47:34.418,6.023
AS14.27,2014-05-11 11:51:18.542,42.187
AS14.27,2014-05-11 14:04:23.395,15.095
AS14.27,2014-05-11 14:04:39.880,10.057
AS14.27,2014-05-11 14:05:09.029,32.773
AS14.27,2014-05-11 14:05:43.216,15.06
AS14.27,2014-05-11 14:05:59.476,19.239
AS14.27,2014-05-11 14:06:20.130,6.044
AS14.27,2014-05-11 14:06:55.265,34.305
AS14.27,2014-05-11 14:07:31.209,18.136
AS14.27,2014-05-11 19:15:43.398,41.458
AS14.27,2014-05-12 07:25:00.233,31.067
AS14.28,2014-04-02 20:05:41.490,45.055
AS14.28,2014-04-03 07:31:19.595,16.252
AS14.28,2014-04-03 19:52:00.855,17.239
AS14.28,2014-04-03 19:52:26.130,54.194
AS14.28,2014-04-04 13:03:32.448,52.184
AS14.28,2014-04-04 17:08:31.207,5.346
AS14.28,2014-04-05 22:06:19.923,5.05
AS14.28,2014-04-07 07:38:17.328,55.789
AS14.28,2014-04-07 22:23:29.654,44.352
AS14.28,2014-04-08 02:04:06.482,15.784
AS14.28,2014-04-08 02:04:24.025,14.131
AS14.28,2014-04-08 07:39:16.246,9.066
AS14.28,2014-04-08 16:06:56.957,15.074
AS14.28,2014-04-11 20:41:48.801,10.104
AS14.28,2014-04-12 13:15:13.937,16.0
AS14.28,2014-04-12 13:17:08.048,22.125
AS14.28,2014-04-12 13:22:59.420,4.146
AS14.28,2014-04-13 08:28:17.220,38.606
AS14.28,2014-04-13 21:43:12.119,68.253
AS14.28,2014-04-14 15:46:02.842,18.126
AS14.28,2014-04-14 16:33:48.773,48.132
AS14.28,2014-04-15 22:00:59.773,43.824
AS14.28,2014-04-16 07:48:50.634,41.545
AS14.28,2014-04-16 20:02:36.438,37.691
AS14.28,2014-04-18 08:19:03.315,56.036
AS14.28,2014-04-18 08:47:03.174,15.142
AS14.28,2014-04-19 22:20:52.509,13.118
AS14.28,2014-04-19 22:21:52.040,9.07
AS14.28,2014-04-21 07:46:00.628,39.01
AS14.28,2014-04-22 21:15:22.844,5.147
AS14.28,2014-04-22 21:15:32.122,21.545
AS14.28,2014-04-22 21:15:55.875,18.064
AS14.28,2014-04-23 20:55:26.522,28.319
AS14.28,2014-04-23 20:55:55.822,25.121
AS14.28,2014-04-24 14:29:18.234,42.065
AS14.28,2014-04-24 16:29:35.092,33.199
AS14.28,2014-04-24 17:42:52.918,40.241
AS14.28,2014-04-24 17:44:18.414,15.06
AS14.28,2014-04-25 07:54:23.536,9.328
AS14.28,2014-04-25 07:54:35.864,30.746
AS14.28,2014-04-25 09:19:45.470,20.623
AS14.28,2014-04-25 09:51:39.927,2.013
AS14.28,2014-04-26 08:14:01.069,15.342
AS14.28,2014-04-26 08:14:20.828,47.523
AS14.28,2014-04-26 08:15:11.578,13.106
AS14.28,2014-04-26 08:18:58.698,15.543
AS14.28,2014-04-26 08:19:17.956,13.043
AS14.28,2014-04-27 08:15:17.038,24.226
AS14.28,2014-04-27 08:16:26.069,18.822
AS14.28,2014-04-27 08:16:45.940,15.451
AS14.28,2014-04-27 10:44:35.002,22.482
AS14.28,2014-04-27 10:44:59.062,1.009
AS14.28,2014-04-27 10:48:48.413,9.035
AS14.28,2014-04-27 12:46:35.697,24.278
AS14.28,2014-04-27 13:52:35.108,15.076
AS14.28,2014-04-27 13:53:17.608,39.993
AS14.28,2014-05-01 20:38:50.595,40.242
AS14.28,2014-05-03 21:18:04.157,43.93
AS14.28,2014-05-04 08:38:49.355,12.122
AS14.28,2014-05-04 08:39:02.530,17.962
AS14.28,2014-05-05 06:06:32.828,11.059
AS14.28,2014-05-05 20:09:54.138,42.411
AS14.28,2014-05-06 20:20:31.098,31.711
AS14.28,2014-05-07 13:45:27.233,1.119
AS14.28,2014-05-07 16:45:40.653,8.067
AS14.30,2014-03-23 08:46:30.237,344.863
AS14.30,2014-03-23 12:16:04.568,22.074
AS14.30,2014-03-24 08:35:37.507,15.07
AS14.30,2014-03-26 08:50:33.236,6.087
AS14.30,2014-03-30 13:15:37.865,1.007
AS14.30,2014-04-06 10:57:54.450,51.507
AS14.30,2014-04-06 11:24:23.055,41.881
AS14.30,2014-04-06 11:38:32.033,4.117
AS14.30,2014-04-07 18:13:31.111,11.039
AS14.30,2014-04-07 18:16:49.107,60.829
AS14.30,2014-04-07 18:21:04.197,3.018
AS14.30,2014-04-11 07:51:16.948,8.032
AS14.30,2014-04-19 11:00:32.747,3.008
AS14.30,2014-04-26 10:19:07.434,7.026
AS14.30,2014-04-27 00:44:48.450,23.033
AS14.32,2014-04-07 18:25:14.036,22.431
